harvest,year,date,location,point,disturb,slash,fern,herb,low_cov,low_spp,invasive_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,ba,seedling-numb
gas_line,2019,2020.04.06,interior,865,p,p,p,m,h,rubu,a,NA,p,761,a,NA,l,buck,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.06,interior,866,a,a,a,p,l,rubu,a,NA,p,531,l,531,a,NA,10,NA,2,NA,NA,NA,NA,20,NA
gas_line,2019,2020.04.20,interior,867,m,l,[,l,m,rubu,a,NA,p,372,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.20,interior,868,m,h,l,m,h,rubu,a,NA,l,356,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.22,interior,869,m,m,m,m,h,rubu,a,NA,l,rhus,p,531,p,viti,10,NA,1,NA,NA,NA,NA,10,NA
gas_line,2019,2020.04.22,interior,870,l,m,m,l,h,rubu,a,NA,p,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.22,interior,871,l,l,p,l,m,rubu,a,NA,l,761,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.22,interior,872,m,m,l,l,h,rubu,a,NA,l,761,a,NA,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.20,interior,873,h,p,p,m,h,rubu,a,NA,a,NA,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.20,interior,874,m,m,p,h,p,rubu,a,NA,p,901,a,NA,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.20,interior,875,l,l,m,l,m,rubu,a,NA,p,761,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.20,interior,876,m,m,l,l,h,rubu,a,NA,p,318,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.22,interior,877,m,l,l,l,m,rubu,a,NA,p,531,l,318,a,NA,10,1,NA,1,NA,NA,NA,20,NA
gas_line,2019,2020.04.22,interior,878,l,m,l,h,m,rubu,a,NA,p,740,a,NA,p,fabu,10,1,NA,NA,NA,NA,NA,10,NA
gas_line,2019,2020.04.22,interior,879,l,l,a,m,m,rubu,a,NA,p,761,p,833,a,NA,10,1,NA,NA,NA,NA,NA,10,NA
red_pine,2019,2020.05.27,interior,334,p,h,p,h,m,rubu,p,loni,p,355,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,0,37
red_pine,2019,2020.06.01,interior,335,l,l,a,h,l,rubu,a,NA,h,740,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,0,19
red_pine,2019,2020.06.01,interior,336,a,h,a,l,l,rubu,p,loni,h,740,p,833,p,viti,10,1,NA,NA,NA,NA,NA,10,54
red_pine,2019,2020.05.27,interior,337,a,l,a,h,m,rubu,p,elae,p,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,15
red_pine,2019,2020.06.01,interior,338,p,m,a,m,m,rubu,a,NA,p,316,p,832,p,viti,10,1,NA,NA,NA,NA,NA,10,NA
red_pine,2019,2020.06.01,interior,339,l,h,a,m,m,rubu,a,NA,p,541,p,762,a,NA,10,NA,NA,NA,NA,NA,NA,0,22
red_pine,2019,2020.06.08,interior,340,p,m,p,m,m,rubu,a,NA,l,761,l,318,p,viti,10,NA,NA,1,NA,NA,1,20,41
red_pine,2019,2020.05.27,interior,341,p,m,a,m,m,rubu,p,loni,l,740,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,0,7
red_pine,2019,2020.06.09,interior,342,p,p,a,h,l,rubu,a,NA,m,746,m,832,a,NA,10,3,NA,NA,NA,NA,NA,30,41
red_pine,2019,2020.06.09,interior,343,p,l,a,m,l,vacc,a,NA,p,743,m,833,a,NA,10,2,NA,NA,NA,NA,NA,20,7
red_pine,2019,2020.06.09,interior,344,a,m,p,h,m,rubu,a,NA,m,746,p,832,a,NA,10,1,NA,NA,NA,NA,NA,10,18
red_pine,2019,2020.05.28,interior,345,a,m,a,h,l,rubu,l,loni,p,591,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,69
red_pine,2019,2020.05.28,interior,346,m,m,p,m,l,rubu,a,NA,l,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,12
red_pine,2019,2020.05.28,interior,347,p,m,a,h,m,rubu,a,NA,l,740,p,129,a,NA,10,NA,NA,NA,NA,NA,1,10,16
red_pine,2019,2020.05.28,interior,348,l,l,l,m,m,rubu,a,NA,p,355,a,NA,a,NA,10,1,NA,NA,NA,NA,NA,10,23
red_pine,2019,2020.05.26,perimeter,880,l,l,a,m,m,rubu,a,NA,p,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,5
red_pine,2019,2020.05.26,perimeter,881,m,l,a,l,l,rubu,a,NA,l,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,5
red_pine,2019,2020.05.26,perimeter,882,m,l,a,h,l,rubu,a,NA,m,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,1
red_pine,2019,2020.06.01,perimeter,883,p,m,a,m,m,rubu,l,elae,l,740,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,0,9
red_pine,2019,2020.06.01,perimeter,884,a,p,a,m,m,rubu,a,NA,m,740,p,833,a,NA,10,NA,NA,NA,NA,NA,NA,0,17
red_pine,2019,2020.06.01,perimeter,885,a,l,a,l,m,rubu,a,NA,h,740,p,833,a,NA,10,NA,NA,NA,NA,NA,NA,0,14
red_pine,2019,2020.06.08,perimeter,886,a,m,a,l,m,rubu,a,NA,h,746,l,833,p,viti,10,NA,NA,NA,NA,NA,NA,0,33
red_pine,2019,2020.06.08,perimeter,887,a,l,a,l,l,rubu,a,NA,m,701,p,316,a,NA,10,NA,NA,NA,NA,NA,NA,0,3
red_pine,2019,2020.06.08,perimeter,888,a,l,a,h,m,rubu,a,NA,l,316,l,318,p,viti,10,NA,NA,1,NA,NA,NA,10,21
red_pine,2019,2020.06.08,perimeter,889,p,l,a,h,h,rubu,p,berb,l,355,p,833,a,NA,10,NA,NA,NA,NA,NA,NA,0,18
red_pine,2019,2020.06.09,perimeter,890,p,l,a,h,m,rubu,p,loni,p,743,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,12
red_pine,2019,2020.06.09,perimeter,891,m,l,a,m,m,rubu,p,elae,l,743,p,833,a,NA,10,1,NA,NA,NA,NA,NA,10,25
red_pine,2019,2020.06.09,perimeter,892,m,m,a,h,m,rubu,a,NA,p,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,12
wedge,2019,2020.06.29,interior,370,l,p,p,m,m,rubu,p,loni,h,743,l,316,p,viti,10,NA,NA,3,NA,NA,NA,30,10
wedge,2019,2020.06.29,interior,371,p,m,l,p,m,rubu,a,NA,l,761,h,316,p,viti,10,NA,NA,5,NA,NA,NA,50,75
wedge,2019,2020.06.29,interior,372,m,m,p,m,m,rubu,a,NA,m,761,l,531,l,viti,10,NA,2,NA,NA,NA,NA,20,10
wedge,2019,2020.06.23,interior,373,a,l,p,p,l,rubu,a,NA,l,761,m,531,a,NA,10,1,1,1,NA,NA,NA,30,50
wedge,2019,2020.06.23,interior,374,p,m,p,p,h,rubu,a,NA,h,761,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,0,10
wedge,2019,2020.06.25,interior,375,m,m,p,l,h,rubu,a,NA,m,761,m,318,a,NA,10,NA,NA,4,NA,NA,NA,40,10
wedge,2019,2020.06.23,interior,376,p,l,p,p,m,rubu,a,NA,h,761,p,316,a,NA,10,NA,NA,3,NA,NA,NA,30,25
wedge,2019,2020.06.23,interior,377,p,l,p,p,m,rubu,a,NA,h,761,l,318,a,NA,10,NA,NA,5,NA,NA,NA,50,25
wedge,2019,2020.06.25,interior,378,l,m,m,l,m,rubu,a,NA,p,761,h,318,a,NA,10,NA,NA,10,NA,NA,NA,100,75
wedge,2019,2020.06.25,interior,379,m,l,p,h,m,rubu,a,NA,p,761,p,318,p,viti,10,NA,NA,2,NA,NA,NA,20,10
wedge,2019,2020.06.23,interior,380,p,m,m,l,m,rubu,a,NA,l,761,h,316,a,NA,10,NA,NA,8,NA,NA,NA,80,75
wedge,2019,2020.06.23,interior,381,p,h,m,p,h,rubu,a,NA,p,541,h,318,a,NA,10,NA,NA,8,NA,NA,NA,80,50
wedge,2019,2020.06.25,interior,382,l,m,p,p,h,rubu,a,NA,m,761,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,75
wedge,2019,2020.06.25,interior,383,l,l,p,l,h,rubu,a,NA,m,761,l,318,a,NA,10,NA,NA,1,NA,NA,NA,10,100
wedge,2019,2020.06.23,perimeter,966,a,p,p,l,m,rubu,a,NA,h,761,p,316,p,viti,10,NA,NA,1,NA,NA,NA,10,100
wedge,2019,2020.06.23,perimeter,967,p,p,p,l,h,rubu,a,NA,m,761,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,75
wedge,2019,2020.06.23,perimeter,968,p,m,l,l,h,rubu,a,NA,l,761,l,316,a,NA,10,NA,NA,6,NA,NA,NA,60,10
wedge,2019,2020.06.25,perimeter,969,l,l,l,l,h,rubu,a,NA,m,761,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,75
wedge,2019,2020.06.25,perimeter,970,m,l,l,h,m,rubu,a,NA,m,761,m,318,a,NA,10,NA,NA,3,NA,NA,NA,30,50
wedge,2019,2020.06.25,perimeter,971,m,l,l,m,m,rubu,a,NA,h,samb,l,316,a,NA,10,NA,NA,1,NA,NA,NA,10,10
wedge,2019,2020.06.25,perimeter,972,p,l,p,m,h,rubu,a,NA,m,761,p,318,p,viti,10,NA,NA,NA,NA,NA,NA,0,10
wedge,2019,2020.06.29,perimeter,973,l,l,p,h,m,rubu,a,NA,m,743,p,316,m,viti,10,NA,NA,1,NA,NA,NA,10,1
wedge,2019,2020.06.29,perimeter,974,l,p,p,h,p,rubu,a,NA,m,743,m,316,p,viti,10,NA,NA,3,NA,NA,NA,30,10
wedge,2019,2020.06.23,perimeter,975,m,l,p,m,l,rubu,a,NA,m,743,m,316,a,NA,10,NA,NA,5,NA,NA,NA,50,75
