harvest,season,date,location,point,disturb,slash,fern,herb,native_cov,native_spp,invasive_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,comm_sdl,comments
boot,2021,2022.06.22,p,951,a,p,p,m,h,915,a,NA,h,761,a,NA,a,NA,10,0,0,1,0,0,0,3,NA
boot,2021,2022.06.22,i,351,a,m,a,l,m,915,a,NA,l,531,h,531,a,NA,10,0,1,2,0,0,0,4,NA
boot,2021,2022.06.22,i,353,a,l,m,h,h,915,p,905,l,951,h,316,p,viti,10,0,0,5,0,1,0,1,NA
boot,2021,2022.06.22,p,952,a,l,l,h,h,915,a,NA,l,372,a,NA,p,viti,10,0,0,2,0,0,0,2,NA
boot,2021,2022.06.22,p,953,a,l,p,l,h,915,a,NA,l,316,m,316,l,viti,10,0,1,3,1,0,0,2,NA
boot,2021,2022.06.22,i,358,a,p,p,p,h,915,a,NA,h,372,a,NA,l,viti,10,0,0,1,0,0,0,1,NA
boot,2021,2022.06.22,i,356,p,m,p,l,h,915,p,635,l,761,l,318,p,viti,10,0,0,4,0,0,0,2,"Am I correct that ""loni"" here is supposed to be lonicera spp.? = 635 data code"
boot,2021,2022.06.24,i,349,a,p,p,h,h,915,p,635,l,761,l,316,a,NA,10,0,0,2,0,0,0,4,NA
boot,2021,2022.06.24,p,965,a,p,l,h,l,915,p,635,l,372,m,833,p,viti,10,2,0,1,0,0,0,4,NA
boot,2021,2022.06.24,i,350,l,p,m,h,h,915,a,NA,l,761,p,531,a,NA,10,0,1,0,0,0,0,4,NA
boot,2021,2022.06.24,p,964,p,p,l,h,h,915,a,NA,m,761,a,NA,p,viti,10,0,0,0,0,0,0,4,NA
boot,2021,2022.06.24,p,963,a,p,l,h,l,915,a,NA,m,761,p,531,a,NA,10,0,1,0,0,0,0,4,NA
boot,2021,2022.06.24,i,355,p,l,a,m,h,915,a,NA,h,761,a,NA,a,NA,10,0,0,1,0,0,0,4,NA
boot,2021,2022.06.24,i,354,a,m,l,l,h,915,a,NA,l,372,l,316,p,viti,10,0,0,3,0,0,0,1,NA
boot,2021,2022.06.24,i,352,l,m,l,p,h,915,a,NA,l,372,l,316,a,NA,10,0,0,3,0,0,0,3,NA
campridge,2021,2022.03.22,i,252,a,l,a,m,h,915,a,NA,l,743,l,316,a,NA,10,1,0,1,0,0,0,1,NA
campridge,2021,2022.03.22,i,253,p,m,l,h,m,915,a,NA,l,531,l,372,a,NA,10,1,0,0,1,0,0,1,NA
campridge,2021,2022.03.22,i,254,a,l,p,m,h,915,a,NA,l,743,p,833,a,NA,10,3,0,0,0,0,0,NA,NA
campridge,2021,2022.03.22,i,255,p,m,l,m,m,915,a,NA,p,743,l,833,a,NA,10,1,0,0,0,0,0,1,NA
campridge,2021,2022.03.22,i,256,a,m,a,h,h,915,p,635,p,316,a,NA,a,NA,10,1,0,0,0,0,0,1,NA
campridge,2021,2022.03.22,i,247,l,p,a,h,m,915,a,NA,p,701,m,318,a,NA,10,1,0,2,0,0,0,NA,NA
campridge,2021,2022.03.22,i,248,a,l,a,h,h,915,a,NA,p,316,p,318,a,NA,10,2,0,1,0,0,0,1,NA
campridge,2021,2022.03.30,i,475,a,m,l,m,h,915,a,NA,m,743,a,NA,p,viti,10,1,0,0,0,0,0,1,NA
campridge,2021,2022.03.30,i,476,p,l,a,h,m,915,a,NA,m,743,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.03.30,i,477,a,m,a,p,p,915,a,NA,l,743,l,833,a,NA,10,1,0,0,0,0,0,1,NA
campridge,2021,2022.03.30,i,478,a,m,p,h,m,915,a,NA,m,743,p,316,a,NA,10,0,0,1,0,0,0,1,NA
campridge,2021,2022.03.30,i,480,a,m,p,h,h,915,a,NA,m,743,p,316,a,NA,10,0,0,1,0,0,0,NA,NA
campridge,2021,2022.03.30,i,479,a,m,p,m,h,915,a,NA,h,743,a,NA,a,NA,10,0,0,1,0,0,0,1,NA
campridge,2021,2022.03.30,i,483,a,l,l,m,h,915,a,NA,m,743,l,316,a,NA,10,0,0,2,0,0,0,1,NA
campridge,2021,2022.03.30,i,482,a,m,p,m,m,915,a,NA,l,761,p,316,a,NA,10,0,0,1,0,0,0,NA,NA
campridge,2021,2022.03.30,i,481,a,m,p,m,m,915,a,NA,l,316,a,316,a,NA,10,0,0,0,0,0,0,NA,NA
campridge,2021,2022.04.13,i,484,a,m,a,m,h,915,a,NA,m,743,p,316,a,NA,10,0,0,1,0,0,0,1,NA
campridge,2021,2022.04.13,i,485,a,m,a,l,m,915,a,NA,m,743,a,NA,a,NA,10,0,0,1,0,0,0,2,NA
campridge,2021,2022.04.13,i,486,a,m,p,m,m,915,a,NA,m,743,l,316,a,NA,10,0,0,1,0,0,0,NA,NA
campridge,2021,2022.04.13,i,489,a,m,a,m,h,915,a,NA,h,743,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.04.13,i,488,a,m,a,l,l,915,a,NA,l,761,m,316,a,NA,10,0,0,2,1,0,0,1,NA
campridge,2021,2022.04.13,i,487,a,m,l,m,m,915,a,NA,l,761,a,NA,a,NA,10,0,0,1,0,0,0,NA,NA
campridge,2021,2022.04.13,i,249,a,m,a,h,l,915,a,NA,p,316,m,318,a,NA,10,2,0,2,0,0,0,1,NA
campridge,2021,2022.04.13,i,250,a,m,a,h,m,915,p,368,a,NA,l,833,a,NA,10,3,0,0,0,0,0,2,NA
campridge,2021,2022.04.13,i,251,a,l,l,h,h,915,a,NA,p,531,l,318,a,NA,10,0,0,2,0,0,0,1,NA
campridge,2021,2022.04.13,i,84,a,m,p,h,h,915,a,NA,p,951,l,318,a,NA,10,0,0,2,0,0,0,1,NA
campridge,2021,2022.04.13,i,85,a,m,l,h,h,915,a,NA,l,318,l,318,a,NA,10,0,0,4,0,0,0,NA,NA
campridge,2021,2022.04.15,i,82,a,m,p,h,l,915,a,NA,l,701,l,407,a,NA,10,1,0,0,0,0,0,1,NA
campridge,2021,2022.04.15,i,83,a,m,a,h,m,915,a,NA,p,951,p,318,a,NA,10,0,0,2,0,0,0,NA,NA
campridge,2021,2022.04.15,p,86,m,l,l,h,m,915,a,NA,p,951,p,318,a,NA,10,0,0,1,0,0,0,2,NA
campridge,2021,2022.04.15,i,87,l,l,l,h,l,915,a,NA,l,531,l,318,a,NA,10,0,0,3,0,0,0,2,NA
campridge,2021,2022.04.15,i,88,m,p,l,h,p,915,a,NA,p,701,p,951,a,NA,10,0,0,1,0,2,0,NA,NA
campridge,2021,2022.04.15,i,89,l,l,p,h,l,915,a,NA,m,866,m,NA,m,viti,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.04.15,i,90,p,l,l,h,m,915,a,NA,p,951,p,318,a,NA,10,0,0,2,0,0,0,NA,NA
campridge,2021,2022.04.15,i,91,p,l,p,h,m,915,a,NA,m,866,m,316,p,viti,10,0,0,2,0,0,0,NA,NA
campridge,2021,2022.04.15,i,100,p,l,a,l,p,915,a,NA,a,NA,a,833,a,NA,10,2,0,0,0,0,0,2,NA
campridge,2021,2022.04.15,i,98,a,m,l,h,l,915,p,635,p,701,p,651,p,NA,10,0,0,0,0,1,0,NA,NA
campridge,2021,2022.04.18,i,493,a,m,l,m,m,915,a,NA,l,743,p,407,a,NA,10,3,0,0,1,0,0,2,NA
campridge,2021,2022.04.18,i,494,a,m,a,m,m,915,a,NA,l,531,m,833,a,NA,10,4,0,0,0,0,0,2,NA
campridge,2021,2022.04.18,i,495,a,h,a,m,m,915,a,NA,l,531,m,833,a,NA,10,3,0,0,0,0,0,1,NA
campridge,2021,2022.04.18,i,467,a,p,a,h,h,915,a,NA,m,761,a,NA,a,NA,10,1,0,0,0,0,0,NA,NA
campridge,2021,2022.04.18,i,468,a,m,a,l,l,915,a,NA,p,316,m,802,a,NA,10,3,0,0,0,0,0,NA,NA
campridge,2021,2022.04.18,i,469,a,m,a,m,h,915,a,NA,l,743,a,NA,a,NA,10,1,0,0,0,0,0,1,NA
campridge,2021,2022.04.18,i,470,a,m,a,l,l,915,a,NA,p,743,m,833,a,NA,10,1,0,0,0,0,0,2,NA
campridge,2021,2022.04.18,i,471,a,l,a,m,h,915,a,NA,l,743,a,NA,a,NA,10,0,0,1,0,0,0,1,NA
campridge,2021,2022.04.18,i,472,a,l,a,m,l,915,a,NA,l,743,l,372,a,NA,10,1,0,0,0,0,0,NA,NA
campridge,2021,2022.04.18,i,473,a,l,a,m,l,915,a,NA,l,743,l,318,a,NA,10,2,0,1,0,1,0,1,NA
campridge,2021,2022.04.18,i,474,a,l,a,m,m,915,a,NA,l,743,a,NA,a,NA,10,2,0,0,1,0,0,NA,NA
campridge,2021,2022.04.18,i,97,l,m,p,h,l,915,a,NA,p,743,p,833,a,NA,10,0,0,0,1,0,0,1,NA
campridge,2021,2022.04.18,i,96,a,l,a,h,m,915,a,NA,l,531,l,318,a,NA,10,1,0,1,0,0,0,1,NA
campridge,2021,2022.04.18,i,95,a,m,p,h,m,915,p,905,m,531,p,833,a,NA,10,2,0,0,0,0,0,1,NA
campridge,2021,2022.04.18,i,94,a,m,p,h,l,915,a,NA,l,746,l,833,a,NA,10,2,0,0,0,0,0,2,NA
campridge,2021,2022.04.21,p,459,l,a,l,h,l,915,l,905,p,701,a,NA,a,NA,10,0,0,1,0,0,0,NA,NA
campridge,2021,2022.04.21,p,460,p,a,p,h,m,915,a,NA,l,743,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.04.21,p,461,l,p,p,h,m,915,a,NA,l,746,p,318,a,NA,10,0,0,1,0,0,0,1,NA
campridge,2021,2022.04.21,p,462,m,a,p,h,l,915,a,NA,p,746,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.04.21,p,463,m,a,l,h,l,915,p,905,p,746,a,NA,a,NA,10,0,0,0,0,0,0,NA,NA
campridge,2021,2022.04.21,p,464,h,a,p,h,l,915,p,635,p,316,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.04.21,p,465,m,p,l,h,m,915,a,NA,p,761,a,NA,a,NA,10,0,0,0,0,0,0,NA,NA
campridge,2021,2022.04.21,p,466,h,m,l,h,m,915,p,905,p,920,p,833,a,NA,10,1,0,0,0,0,0,NA,NA
campridge,2021,2022.04.21,i,92,a,h,a,m,l,915,p,635,h,531,p,951,a,NA,10,2,0,1,0,1,0,2,NA
campridge,2021,2022.04.21,i,93,m,m,l,h,l,915,p,905,p,833,l,833,a,NA,10,2,0,0,0,0,0,NA,NA
campridge,2021,2022.04.21,i,449,l,p,a,m,m,915,a,NA,l,743,a,NA,p,viti,10,0,0,0,0,0,2,1,NA
campridge,2021,2022.05.12,i,490,a,m,a,h,m,915,p,905,p,316,l,833,a,NA,10,3,0,0,0,0,0,2,NA
campridge,2021,2022.05.12,i,491,a,l,a,m,l,915,a,NA,p,531,m,833,a,NA,10,2,0,0,0,0,0,2,NA
campridge,2021,2022.05.12,i,492,a,l,a,l,p,915,a,NA,h,531,l,833,a,NA,10,1,1,2,0,0,0,2,NA
campridge,2021,2022.05.12,i,496,l,m,a,h,l,dilo,p,635,m,743,m,316,a,NA,10,0,0,1,0,0,0,1,"Am I correct that ""loni"" refers to the same species as ""dilo""? Is it native or invasive (or both, as it appears?)"
campridge,2021,2022.05.12,i,497,a,h,a,h,l,915,a,NA,h,743,m,318,a,NA,10,0,0,2,0,1,0,NA,NA
campridge,2021,2022.05.12,i,499,a,l,p,m,m,915,a,NA,l,531,l,833,a,NA,10,3,0,0,0,0,0,1,NA
campridge,2021,2022.05.12,i,500,a,l,p,m,m,915,a,NA,l,316,p,833,a,NA,10,2,0,0,0,0,0,1,NA
campridge,2021,2022.05.12,i,498,a,m,a,h,l,915,p,905,p,316,l,316,a,NA,10,0,0,1,0,0,0,4,NA
campridge,2021,2022.05.12,i,76,p,m,p,h,m,915,a,NA,l,316,p,316,NA,NA,10,1,0,1,0,0,0,1,NA
campridge,2021,2022.05.12,i,77,a,m,p,m,h,915,a,NA,p,701,p,318,a,NA,10,0,0,2,0,0,0,1,NA
campridge,2021,2022.05.12,i,78,l,m,a,m,l,915,a,NA,l,316,m,407,a,NA,10,3,0,1,0,0,0,1,NA
campridge,2021,2022.05.12,i,79,m,m,l,h,m,915,p,635,p,701,a,NA,a,NA,10,0,0,0,0,1,0,2,NA
campridge,2021,2022.05.12,i,81,a,l,p,h,m,915,p,635,l,316,a,NA,a,NA,10,0,0,0,0,0,0,2,NA
campridge,2021,2022.05.12,i,80,a,p,a,h,r,915,a,NA,p,951,l,318,a,NA,10,0,0,2,0,1,0,1,NA
campridge,2021,2022.05.12,i,458,a,m,m,m,m,915,a,NA,m,743,a,NA,a,NA,10,1,0,0,0,0,3,1,NA
campridge,2021,2022.05.13,i,450,p,m,a,m,p,915,p,905,m,746,l,129,p,viti,10,0,0,0,0,0,3,1,NA
campridge,2021,2022.05.13,p,448,p,p,p,h,l,915,p,905,l,746,p,833,a,NA,10,1,0,0,0,0,1,NA,NA
campridge,2021,2022.05.13,p,447,m,p,a,h,p,915,p,905,l,531,a,NA,a,NA,10,0,1,0,0,0,0,1,NA
campridge,2021,2022.05.13,i,446,m,l,p,m,l,915,a,NA,m,531,p,833,a,NA,10,1,1,0,0,0,0,2,NA
campridge,2021,2022.05.13,i,443,p,p,p,h,m,915,p,905,h,743,a,NA,p,viti,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.05.13,i,444,a,p,p,m,h,915,a,905,p,372,a,NA,p,viti,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.05.13,i,445,m,l,h,m,p,915,m,905,m,372,p,129,a,NA,10,0,0,0,0,1,2,NA,NA
campridge,2021,2022.05.13,i,441,a,l,a,m,m,915,p,905,l,531,m,833,a,NA,10,2,0,0,0,0,0,3,NA
campridge,2021,2022.05.13,i,442,a,m,l,m,m,915,a,NA,m,372,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.05.13,i,457,m,l,l,h,m,915,p,635,m,743,p,372,a,NA,10,0,0,0,1,0,0,1,NA
campridge,2021,2022.05.13,i,456,p,m,h,m,m,915,l,905,m,372,a,NA,p,viti,10,0,0,0,0,0,0,1,NA
campridge,2021,2022.05.13,i,451,a,m,l,h,m,915,a,NA,m,866,a,NA,a,NA,10,0,0,0,0,0,0,2,NA
campridge,2021,2022.05.13,i,452,h,p,l,h,l,915,a,NA,l,866,p,316,p,viti,10,0,0,1,0,0,0,2,NA
campridge,2021,2022.05.13,i,453,l,m,l,h,m,915,a,635,l,372,a,NA,a,NA,10,1,0,1,0,0,0,NA,NA
campridge,2021,2022.05.13,i,454,m,p,a,h,l,915,p,905,l,372,p,833,a,NA,10,6,0,0,0,0,0,1,NA
campridge,2021,2022.05.13,i,455,a,p,l,m,m,915,p,905,l,372,a,NA,a,NA,10,2,0,0,0,0,0,1,NA
decker,2021,2022.02.24,p,210,a,p,m,h,m,915,a,NA,p,316,l,316,a,NA,10,0,0,3,0,0,0,1,NA
decker,2021,2022.02.24,i,211,a,a,a,p,a,NA,a,NA,h,531,h,316,a,NA,10,1,0,9,0,2,0,NA,NA
decker,2021,2022.02.24,i,212,a,a,a,a,a,NA,a,NA,h,531,h,318,a,NA,10,0,4,5,0,3,0,NA,NA
decker,2021,2022.02.24,i,229,a,p,a,m,a,NA,a,NA,h,531,h,531,a,NA,10,0,4,5,0,0,0,NA,NA
decker,2021,2022.02.24,p,213,a,a,p,p,l,viac,a,NA,m,531,l,318,a,NA,10,0,0,1,0,0,0,1,NA
decker,2021,2022.02.24,p,214,a,p,p,h,l,viac,a,NA,m,743,m,318,a,NA,10,3,0,5,0,0,0,NA,NA
decker,2021,2022.02.24,i,215,a,p,l,h,p,915,a,NA,l,531,h,762,a,NA,10,0,0,5,0,4,0,NA,NA
decker,2021,2022.02.24,p,216,l,p,m,h,m,915,a,NA,p,951,a,NA,a,NA,10,0,0,0,0,0,0,NA,NA
decker,2021,2022.02.24,i,228,p,l,p,h,l,915,a,NA,l,701,h,318,a,NA,10,0,0,4,0,1,0,NA,NA
decker,2021,2022.02.24,i,217,p,p,l,h,l,915,p,905,l,951,m,318,a,NA,10,0,0,5,0,0,0,NA,NA
decker,2021,2022.02.24,i,231,a,l,l,m,m,915,a,NA,l,701,h,318,a,NA,10,0,0,7,0,0,0,1,NA
decker,2021,2022.02.24,i,230,a,l,p,m,p,viac,a,NA,l,318,h,318,a,NA,10,1,0,6,0,0,0,1,NA
decker,2021,2022.03.04,i,232,a,m,a,l,l,915,a,NA,p,531,m,318,a,NA,10,3,0,2,0,0,0,NA,NA
decker,2021,2022.03.04,i,233,a,p,p,m,m,915,l,905,l,316,h,316,a,NA,10,0,0,5,0,0,0,3,NA
decker,2021,2022.03.04,i,235,a,l,m,m,p,915,a,NA,a,NA,h,318,a,NA,10,0,0,5,0,1,0,1,NA
decker,2021,2022.03.04,p,218,p,l,m,h,m,915,a,NA,a,NA,l,318,a,NA,10,0,0,3,0,0,0,NA,NA
decker,2021,2022.03.04,i,241,l,l,p,h,m,915,a,NA,p,531,h,318,a,NA,10,0,0,4,0,1,0,NA,NA
decker,2021,2022.03.04,i,240,l,l,m,h,m,915,p,635,l,531,m,318,a,NA,10,0,0,4,0,1,0,NA,NA
decker,2021,2022.03.11,i,234,p,l,m,m,m,915,a,NA,m,531,m,316,m,virginia creeper,10,0,1,6,0,1,0,1,No species code listed for virginia creeper vine
decker,2021,2022.03.11,p,219,a,p,m,m,l,915,a,NA,m,531,m,318,a,NA,10,2,1,3,0,1,1,NA,NA
decker,2021,2022.03.11,p,220,a,p,m,h,m,915,p,905,l,318,m,316,a,NA,10,0,0,4,0,1,0,1,NA
decker,2021,2022.03.11,i,239,a,h,m,m,l,915,a,NA,p,951,l,318,a,NA,10,0,0,6,0,0,0,NA,NA
decker,2021,2022.03.11,i,221,p,l,p,m,m,915,a,NA,p,318,m,318,a,NA,10,0,0,3,0,0,3,1,NA
decker,2021,2022.03.11,i,245,a,p,l,m,p,viac,a,NA,m,531,m,318,a,NA,10,0,0,4,1,1,0,1,NA
decker,2021,2022.03.11,i,238,a,p,p,m,m,915,a,NA,p,951,h,318,a,NA,10,0,0,5,0,2,0,1,NA
decker,2021,2022.03.11,i,237,l,l,l,m,m,915,a,NA,l,372,h,318,a,NA,10,0,0,7,0,0,0,3,"Note made that ""237 has honeysuckle present"""
decker,2021,2022.03.16,i,236,p,p,p,h,m,915,a,NA,a,NA,h,318,a,NA,10,0,0,7,0,0,0,1,NA
decker,2021,2022.03.16,i,244,a,l,l,m,m,915,p,635,l,372,h,318,a,NA,10,0,0,3,0,0,0,NA,NA
decker,2021,2022.03.16,p,222,p,l,l,h,m,915,a,NA,l,531,l,318,a,NA,10,0,0,3,0,0,0,NA,NA
decker,2021,2022.03.16,p,223,l,m,h,h,l,915,p,905,p,531,m,318,a,NA,10,0,0,6,0,0,0,1,NA
decker,2021,2022.03.16,i,246,p,l,m,m,m,915,p,635,p,261,h,318,a,NA,10,0,0,5,0,0,1,1,NA
decker,2021,2022.03.16,i,243,a,l,h,h,m,915,a,NA,p,372,l,316,a,NA,10,0,0,5,0,0,0,NA,NA
decker,2021,2022.03.16,i,224,m,l,m,m,m,915,a,NA,p,372,m,318,a,NA,10,0,0,4,0,1,0,1,NA
decker,2021,2022.03.16,i,242,p,l,m,h,m,915,a,NA,l,318,l,318,a,NA,10,0,0,5,0,1,0,NA,NA
decker,2021,2022.03.16,p,225,p,p,m,h,m,915,p,905,a,NA,l,316,a,NA,10,0,0,3,0,0,0,NA,NA
decker,2021,2022.03.16,p,226,l,p,l,m,m,915,a,NA,p,531,m,318,p,viti,10,0,0,7,0,0,0,NA,NA
decker,2021,2022.03.16,i,227,a,l,p,m,p,915,a,NA,l,531,h,318,a,NA,10,0,0,5,0,1,0,1,NA
decker,2021,2022.05.17,c,714,a,p,l,h,l,915,p,905,a,NA,m,318,a,NA,10,0,0,5,0,0,1,2,c = control
decker,2021,2022.05.17,c,715,a,p,l,h,l,915,p,905,a,NA,h,318,a,NA,10,0,0,6,0,0,1,1,NA
decker,2021,2022.05.17,c,716,a,p,l,h,m,915,p,635,p,318,m,318,a,NA,10,0,0,6,0,1,1,1,NA
decker,2021,2022.05.17,c,717,a,p,p,h,h,915,p,635,l,318,m,318,a,NA,10,1,0,5,0,1,0,1,NA
decker,2021,2022.05.17,c,718,a,l,l,m,m,915,p,905,p,372,m,318,a,NA,10,0,0,6,0,0,0,NA,NA
decker,2021,2022.05.17,c,719,a,l,p,m,p,915,p,635,l,531,h,318,a,NA,10,0,0,5,0,1,1,1,NA
decker,2021,2022.05.17,c,720,a,l,a,m,l,915,p,635,p,391,h,318,a,NA,10,0,0,6,0,1,3,NA,NA
decker,2021,2022.05.17,c,721,a,l,p,h,m,915,l,905,a,NA,p,318,a,NA,10,0,0,1,0,0,1,1,NA
decker,2021,2022.05.17,c,722,p,l,l,h,m,915,p,635,a,NA,h,318,a,NA,10,0,0,4,0,0,0,NA,NA
decker,2021,2022.05.17,c,723,a,l,l,m,l,915,a,NA,p,372,m,316,a,NA,10,0,0,4,0,0,0,NA,NA
decker,2021,2022.05.17,c,724,a,l,l,m,m,915,a,NA,l,391,h,318,a,NA,10,0,0,5,0,1,0,1,NA
decker,2021,2022.05.17,c,725,p,l,l,m,p,915,a,NA,m,261,m,318,a,NA,10,0,0,1,0,1,1,NA,NA
decker,2021,2022.05.17,c,726,a,l,a,h,m,915,a,NA,l,391,l,318,a,NA,10,0,0,2,0,2,1,1,NA
decker,2021,2022.05.17,c,727,a,m,l,m,l,915,a,NA,l,318,h,318,a,NA,10,0,0,4,0,3,1,NA,NA
decker,2021,2022.05.17,c,728,l,p,h,m,l,915,p,635,l,261,m,318,a,NA,10,0,0,2,0,2,2,1,NA
gasline,2021,2022.05.17,p,835,a,p,p,h,m,915,a,NA,h,901,p,762,a,NA,10,0,0,1,0,0,1,2,NA
gasline,2021,2022.05.17,p,834,m,p,a,h,p,915,p,635,m,746,a,NA,p,viti,10,0,0,0,0,0,0,1,NA
gasline,2021,2022.05.17,p,833,a,p,a,m,h,915,p,368,m,743,a,NA,a,NA,10,0,0,0,0,0,0,NA,NA
gasline,2021,2022.05.19,p,832,m,p,a,h,l,915,a,NA,l,316,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
gasline,2021,2022.05.19,p,831,a,m,a,p,m,915,a,NA,h,316,p,372,a,NA,10,0,0,0,0,0,0,4,NA
gasline,2021,2022.05.20,p,830,a,l,p,m,l,915,a,NA,h,746,l,833,a,NA,10,3,0,0,0,0,0,3,NA
gasline,2021,2022.05.20,i,836,m,l,a,h,m,915,a,NA,m,318,l,833,a,NA,10,2,0,0,0,0,0,2,NA
gasline,2021,2022.05.20,i,837,p,l,p,h,h,915,a,NA,m,746,p,833,p,viti,10,0,0,0,0,0,0,1,NA
gasline,2021,2022.05.20,i,838,a,l,l,l,m,915,p,534,h,761,a,NA,a,NA,10,0,0,0,0,0,0,NA,NA
gasline,2021,2022.05.20,i,839,a,m,l,m,m,915,a,NA,h,746,a,NA,a,NA,10,0,0,0,0,0,0,3,NA
gasline,2021,2022.05.20,p,829,a,p,a,m,h,915,a,NA,h,746,p,833,a,NA,10,1,0,0,0,0,0,2,NA
gasline,2021,2022.05.23,p,801,a,p,m,h,h,915,a,NA,m,318,a,NA,p,viti,10,0,0,0,0,0,0,3,NA
gasline,2021,2022.05.23,p,802,a,l,p,m,h,915,a,NA,m,951,a,NA,p,lath,10,0,0,0,0,0,0,2,NA
gasline,2021,2022.05.23,p,803,a,l,l,h,h,915,a,NA,m,743,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
gasline,2021,2022.05.23,i,844,l,h,m,m,h,915,a,NA,m,951,a,NA,a,NA,10,0,0,0,0,0,0,2,NA
gasline,2021,2022.05.23,i,843,a,m,m,l,h,915,a,NA,h,761,a,NA,a,NA,10,0,0,0,0,0,0,NA,NA
gasline,2021,2022.05.23,i,842,a,l,a,l,h,915,a,NA,h,762,a,NA,a,NA,10,0,0,0,0,0,0,2,NA
gasline,2021,2022.05.24,i,845,p,l,h,m,h,915,a,NA,m,866,a,NA,p,viti,10,0,0,0,0,0,0,1,NA
gasline,2021,2022.05.24,p,804,a,a,m,h,m,915,l,905,m,541,a,NA,p,viti,10,0,0,0,0,0,0,1,NA
gasline,2021,2022.05.24,p,805,a,p,m,m,m,915,a,NA,h,866,a,NA,a,NA,10,0,0,0,0,0,0,1,NA
