harvest,season,date,point,disturb,slash,fern,herb,low_cov,low_spp,inv_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,ba,comm_sdl,spp,origin,native_cov,native_spp,invasive_cov,location,TRMT,first,year,numb_yrs_grow
gas_line,2022,2022.11.08,739,NA,NA,h,l,NA,NA,NA,NA,m,315,l,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,m,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.13,740,p,m,p,l,m,rubu,a,NA,p,761,m,833,a,NA,10,3,NA,NA,NA,NA,NA,30,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.25,740,a,m,a,l,NA,NA,NA,NA,p,355,m,833,a,NA,10,3,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.25,740,a,m,a,l,NA,NA,NA,NA,p,355,m,833,a,NA,10,3,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,740,NA,NA,p,h,NA,NA,NA,NA,l,372,m,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,m,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.10,741,a,l,p,m,m,rubu,a,NA,p,316,h,833,a,NA,10,4,NA,NA,NA,NA,NA,40,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.25,741,a,p,p,m,NA,NA,NA,NA,p,316,h,833,a,NA,10,4,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.25,741,a,p,p,m,NA,NA,NA,NA,p,316,h,833,a,NA,10,4,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,741,NA,NA,m,m,NA,NA,NA,NA,l,316,h,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,m,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.10,742,a,l,p,l,l,rubu,a,NA,p,316,h,833,a,NA,10,5,NA,NA,NA,NA,NA,50,10,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.25,742,a,l,p,p,NA,NA,NA,NA,p,316,h,833,a,NA,10,5,0,0,0,0,0,NA,1,004,s,l,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.25,742,a,l,p,p,NA,NA,NA,NA,p,316,h,833,a,NA,10,5,0,0,0,0,0,NA,1,004,s,l,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.09,742,NA,NA,l,m,NA,NA,NA,NA,l,316,h,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,l,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.10,743,l,m,p,m,m,rubu,a,NA,p,531,l,833,a,NA,10,3,NA,NA,NA,1,NA,40,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.25,743,l,m,p,l,NA,NA,NA,NA,p,531,m,833,a,NA,10,2,0,0,0,1,0,NA,1,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.25,743,l,m,p,l,NA,NA,NA,NA,p,531,m,833,a,NA,10,2,0,0,0,1,0,NA,1,004,s,m,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.09,743,NA,NA,l,h,NA,NA,NA,NA,m,372,l,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,m,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.10,744,l,m,p,m,m,rubu,a,NA,p,372,p,833,p,viti,10,3,NA,NA,NA,NA,NA,30,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.25,744,l,m,p,m,NA,NA,NA,NA,p,372,l,833,p,999,10,3,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.25,744,l,m,p,m,NA,NA,NA,NA,p,372,l,833,p,999,10,3,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.09,744,NA,NA,l,h,NA,NA,NA,NA,l,372,p,833,p,viti,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,m,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.10,745,a,m,p,p,m,rubu,a,NA,l,531,p,833,a,NA,10,2,NA,NA,NA,NA,NA,20,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.25,745,p,l,p,m,NA,NA,NA,NA,p,701,l,531,a,NA,10,2,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.25,745,p,l,p,m,NA,NA,NA,NA,p,701,l,531,a,NA,10,2,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.09,745,NA,NA,m,h,NA,NA,NA,NA,l,531,p,531,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,m,915,a,control,outside,2017,2022,6
gas_line,2019,2020.04.14,801,p,p,l,h,m,rubu,a,NA,l,NA,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.04.09,801,p,p,m,h,NA,NA,NA,NA,l,318,a,NA,a,NA,10,0,0,0,0,0,0,NA,2,004,s,h,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.04.09,801,p,p,m,h,NA,NA,NA,NA,l,318,a,NA,a,NA,10,0,0,0,0,0,0,NA,2,004,s,h,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.27,801,NA,NA,l,h,NA,NA,NA,NA,m,318,a,NA,l,viti,10,NA,NA,NA,NA,NA,NA,NA,3,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.14,802,a,m,p,m,m,rubu,a,NA,l,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.04.09,802,p,m,p,h,NA,NA,NA,NA,m,746,a,NA,a,NA,10,0,0,0,0,0,0,NA,0,004,s,h,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.04.09,802,p,m,p,h,NA,NA,NA,NA,m,746,a,NA,a,NA,10,0,0,0,0,0,0,NA,0,004,s,h,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.27,802,NA,NA,l,m,NA,NA,NA,NA,h,866,a,NA,l,viti,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.14,803,p,l,l,m,m,rubu,a,NA,p,951,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.04.09,803,p,l,p,h,NA,NA,NA,NA,p,318,a,NA,a,NA,10,0,0,0,0,0,0,NA,0,004,s,h,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.04.09,803,p,l,p,h,NA,NA,NA,NA,p,318,a,NA,a,NA,10,0,0,0,0,0,0,NA,0,004,s,h,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.27,803,NA,NA,l,h,NA,NA,NA,NA,m,866,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,804,l,p,l,h,m,rubu,a,NA,p,541,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.14,804,p,p,l,h,NA,NA,NA,905,l,761,a,NA,p,999,10,0,0,0,0,0,0,NA,1,004,s,m,rubu,p,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.14,804,p,p,l,h,NA,NA,NA,905,l,761,a,NA,p,999,10,0,0,0,0,0,0,NA,1,004,s,m,rubu,p,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.27,804,NA,NA,l,h,NA,NA,NA,905,m,541,a,NA,l,viti,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,l,915,l,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,805,m,l,m,l,m,rubu,a,NA,p,531,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.14,805,p,p,p,h,NA,NA,NA,NA,p,866,a,NA,a,NA,10,0,0,0,0,0,0,NA,1,004,s,h,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.14,805,p,p,p,h,NA,NA,NA,NA,p,866,a,NA,a,NA,10,0,0,0,0,0,0,NA,1,004,s,h,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.27,805,NA,NA,m,m,NA,NA,NA,NA,h,866,a,NA,l,viti,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,806,m,p,l,p,m,rubu,a,NA,l,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.14,806,p,p,l,h,NA,NA,NA,NA,m,761,a,NA,l,999,10,0,0,0,0,0,0,NA,2,004,s,h,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.14,806,p,p,l,h,NA,NA,NA,NA,m,761,a,NA,l,999,10,0,0,0,0,0,0,NA,2,004,s,h,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.27,806,NA,NA,l,l,NA,NA,NA,NA,h,761,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,807,m,p,l,l,m,rubu,p,NA,l,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.14,807,l,p,l,m,NA,NA,NA,NA,m,761,a,NA,p,999,10,0,0,0,0,0,0,NA,2,004,s,h,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.14,807,l,p,l,m,NA,NA,NA,NA,m,761,a,NA,p,999,10,0,0,0,0,0,0,NA,2,004,s,h,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.28,807,NA,NA,l,h,NA,NA,NA,NA,h,761,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,808,p,p,p,l,m,rubu,a,NA,l,372,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.14,808,a,p,p,l,NA,NA,NA,635,m,372,l,318,a,NA,10,0,0,1,0,0,0,NA,1,004,s,l,rubu,p,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.14,808,a,p,p,l,NA,NA,NA,635,m,372,l,318,a,NA,10,0,0,1,0,0,0,NA,1,004,s,l,rubu,p,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.28,808,NA,NA,l,h,NA,NA,NA,NA,h,866,l,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,m,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,809,p,p,p,m,m,rhus,p,loni,l,761,p,318,a,NA,10,NA,NA,2,NA,NA,NA,20,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.14,809,a,p,a,m,NA,NA,NA,NA,m,761,p,318,a,NA,10,0,0,2,0,0,0,NA,1,004,s,h,rhus,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.14,809,a,p,a,m,NA,NA,NA,NA,m,761,p,318,a,NA,10,0,0,2,0,0,0,NA,1,004,s,h,rhus,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.28,809,NA,NA,l,h,NA,NA,NA,NA,h,866,l,318,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,h,dilo,a,perimeter,inside,2017,2022,6
gas_line,2020,2021.05.07,810,a,p,a,p,NA,NA,NA,NA,m,531,p,372,a,NA,10,1,1,0,0,1,1,NA,1,004,s,p,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.07,810,a,p,a,p,NA,NA,NA,NA,m,531,p,372,a,NA,10,1,1,0,0,1,1,NA,1,004,s,p,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.28,810,NA,NA,a,p,NA,NA,NA,NA,h,531,p,372,a,NA,10,NA,NA,NA,NA,NA,NA,NA,2,004,s,p,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,811,p,p,a,p,p,rubu,a,NA,p,740,p,833,a,NA,10,1,NA,NA,NA,NA,NA,10,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.07,811,p,p,a,p,NA,NA,NA,NA,h,372,a,NA,a,NA,10,1,0,0,0,0,0,NA,1,004,s,p,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.07,811,p,p,a,p,NA,NA,NA,NA,h,372,a,NA,a,NA,10,1,0,0,0,0,0,NA,1,004,s,p,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.28,811,NA,NA,a,p,NA,NA,NA,NA,h,372,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,p,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,812,l,l,p,l,l,rubu,a,NA,l,740,a,NA,a,NA,10,NA,NA,NA,NA,1,NA,10,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.07,812,a,l,p,m,NA,NA,NA,NA,m,743,a,NA,a,NA,10,0,0,0,0,0,0,NA,1,004,s,m,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.07,812,a,l,p,m,NA,NA,NA,NA,m,743,a,NA,a,NA,10,0,0,0,0,0,0,NA,1,004,s,m,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.28,812,NA,NA,p,m,NA,NA,NA,NA,h,866,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.15,813,l,p,l,l,m,rubu,a,NA,p,951,p,541,a,NA,10,NA,NA,NA,NA,1,NA,10,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.07,813,p,p,l,m,NA,NA,NA,635,l,761,l,541,a,NA,10,0,0,0,0,1,0,NA,1,004,s,h,rubu,p,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.07,813,p,p,l,m,NA,NA,NA,635,l,761,l,541,a,NA,10,0,0,0,0,1,0,NA,1,004,s,h,rubu,p,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.28,813,NA,NA,l,h,NA,NA,NA,635,h,866,NA,NA,p,viti,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,h,915,p,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.20,814,h,p,p,l,h,rubu,a,NA,p,rubu,a,NA,a,NA,10,1,NA,1,NA,NA,NA,20,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.20,814,m,p,p,l,NA,NA,NA,NA,l,866,a,NA,a,NA,10,1,0,1,0,0,0,NA,1,004,s,h,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.20,814,m,p,p,l,NA,NA,NA,NA,l,866,a,NA,a,NA,10,1,0,1,0,0,0,NA,1,004,s,h,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.31,814,NA,NA,l,h,NA,NA,NA,NA,h,866,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.20,815,h,p,m,l,m,rubu,a,NA,p,761,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.24,815,l,p,h,l,NA,NA,NA,NA,m,761,a,NA,p,999,10,0,0,0,0,0,0,NA,2,004,s,h,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.24,815,l,p,h,l,NA,NA,NA,NA,m,761,a,NA,p,999,10,0,0,0,0,0,0,NA,2,004,s,h,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.31,815,NA,NA,h,m,NA,NA,NA,NA,h,761,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,h,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.20,816,h,l,l,m,m,rubu,a,NA,l,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.20,816,p,p,p,l,NA,NA,NA,NA,m,761,a,NA,a,NA,10,0,0,0,0,0,0,NA,2,004,s,h,dilo,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.20,816,p,p,p,l,NA,NA,NA,NA,m,761,a,NA,a,NA,10,0,0,0,0,0,0,NA,2,004,s,h,dilo,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.31,816,NA,NA,l,l,NA,NA,NA,NA,h,372,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,h,dilo,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.17,817,l,l,a,m,m,rubu,a,NA,p,531,l,833,a,NA,10,3,NA,NA,NA,NA,NA,30,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.20,817,a,p,l,m,NA,NA,NA,NA,m,743,p,833,p,999,10,3,0,0,0,0,0,NA,2,004,s,m,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.20,817,a,p,l,m,NA,NA,NA,NA,m,743,p,833,p,999,10,3,0,0,0,0,0,NA,2,004,s,m,rubu,a,perimeter,inside,2017,2021,5
gas_line,2022,2022.10.31,817,NA,NA,l,h,NA,NA,NA,NA,h,743,p,833,p,viti,10,NA,NA,NA,NA,NA,NA,NA,2,004,s,m,915,a,perimeter,inside,2017,2022,6
gas_line,2019,2020.04.17,818,p,l,a,l,h,rubu,a,NA,p,761,p,762,a,NA,10,1,NA,1,NA,NA,NA,20,NA,004,s,NA,NA,NA,perimeter,inside,2017,2019,3
gas_line,2020,2021.05.20,818,a,p,a,l,NA,NA,NA,NA,h,761,a,NA,a,NA,10,1,0,0,0,1,0,NA,0,004,s,m,rubu,a,perimeter,inside,2017,2020,4
gas_line,2021,2021.05.20,818,a,p,a,l,NA,NA,NA,NA,h,761,a,NA,a,NA,10,1,0,0,0,1,0,NA,0,004,s,m,rubu,a,perimeter,inside,2017,2021,5
