harvest,wall,location,point,count,season,cut,year,numb_yrs_grow,origin,spp,type,size,stems.per.acre
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,total,1012.8358482059843
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,winners,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,sup_short,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,sup_med,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,sup_tall,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,sup_sapl,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,exp_short,1012.8358482059843
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,exp_med,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,exp_tall,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,exp_sapl,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,suppressed,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,exposed,1012.8358482059843
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,total,1012.8358482059843
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,wa,commercial,winners,385.1589656094425
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_short,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_med,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_tall,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_sapl,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_short,2025.6716964119687
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_med,770.317931218885
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_tall,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_sapl,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,suppressed,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,exposed,2795.9896276308536
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,total,2795.9896276308536
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,sb,commercial,winners,770.317931218885
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_short,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_med,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_tall,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_sapl,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_short,5064.179241029922
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_med,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_tall,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_sapl,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,suppressed,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,exposed,5064.179241029922
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,total,5064.179241029922
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,ro,commercial,winners,770.317931218885
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_short,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_med,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_tall,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_sapl,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_short,4051.3433928239374
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_med,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_tall,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_sapl,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,suppressed,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,exposed,4051.3433928239374
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,total,4051.3433928239374
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,sb,commercial,winners,770.317931218885
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_short,3038.507544617953
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_med,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_tall,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_sapl,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_short,1012.8358482059843
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_med,3851.5896560944248
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_tall,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_sapl,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,suppressed,3038.507544617953
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,exposed,4864.425504300409
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,total,7902.933048918361
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,sb,commercial,winners,770.317931218885
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_short,1012.8358482059843
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_med,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_tall,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_sapl,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_short,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_med,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_tall,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_sapl,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,suppressed,1012.8358482059843
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,exposed,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,total,1012.8358482059843
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,rm,commercial,winners,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,sup_short,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,sup_med,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,sup_tall,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,sup_sapl,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,exp_short,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,exp_med,1155.4768968283274
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,exp_tall,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,exp_sapl,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,suppressed,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,exposed,1155.4768968283274
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,total,1155.4768968283274
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,sm,commercial,winners,770.317931218885
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_short,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_med,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_tall,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_sapl,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_short,15192.537723089765
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_med,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_tall,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_sapl,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,suppressed,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,exposed,15192.537723089765
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,total,15192.537723089765
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,sb,commercial,winners,1540.63586243777
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_short,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_med,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_tall,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_sapl,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_short,2025.6716964119687
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_med,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_tall,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_sapl,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,suppressed,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,exposed,2025.6716964119687
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,total,2025.6716964119687
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,ro,commercial,winners,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_short,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_med,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_tall,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_sapl,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_short,3038.507544617953
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_med,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_tall,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_sapl,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,suppressed,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,exposed,3038.507544617953
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,total,3038.507544617953
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,rm,commercial,winners,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_short,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_med,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_tall,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_sapl,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_short,3038.507544617953
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_med,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_tall,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_sapl,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,suppressed,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,exposed,3038.507544617953
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,total,3038.507544617953
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,ro,commercial,winners,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_short,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_med,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_tall,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_sapl,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_short,10128.358482059844
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_med,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_tall,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_sapl,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,suppressed,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,exposed,10128.358482059844
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,total,10128.358482059844
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,sb,commercial,winners,1540.63586243777
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_short,0
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_med,0
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_tall,0
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_sapl,0
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_short,3038.507544617953
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_med,0
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_tall,0
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_sapl,0
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,suppressed,0
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,exposed,3038.507544617953
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,total,3038.507544617953
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,sb,commercial,winners,1155.4768968283274
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,sup_short,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,sup_med,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,sup_tall,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,sup_sapl,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,exp_short,4051.3433928239374
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,exp_med,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,exp_tall,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,exp_sapl,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,suppressed,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,exposed,4051.3433928239374
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,total,4051.3433928239374
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,ro,commercial,winners,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,sup_short,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,sup_med,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,sup_tall,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,sup_sapl,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,exp_short,1012.8358482059843
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,exp_med,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,exp_tall,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,exp_sapl,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,suppressed,0
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,exposed,1012.8358482059843
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,total,1012.8358482059843
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,wa,commercial,winners,385.1589656094425
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,sup_short,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,sup_med,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,sup_tall,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,sup_sapl,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,exp_short,1012.8358482059843
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,exp_med,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,exp_tall,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,exp_sapl,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,suppressed,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,exposed,1012.8358482059843
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,total,1012.8358482059843
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,bh,commercial,winners,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_short,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_med,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_tall,0
