describ,harvest,season,wall,spp,Avg Stem Density (stems/ac),Avg Stem Density (stems/ha),PCT_pts_present,wall_ denom,age,spp_count
total,gas_line,2019,protected,pc,1512,3735,51,77,2,1
total,gas_line,2019,protected,sb,1251,3089,29,77,2,1
total,gas_line,2019,protected,remainder,3573,8825,NA,77,2,15
total,gas_line,2019,protected,TOTAL,13730,33913,NA,NA,NA,20
,,,,,,,,,,
,,,,,,,,,,
total,recknagel,2022,control,ab,4360,10770,47,32,3,1
total,recknagel,2022,control,eh,1234,3049,38,32,3,1
total,recknagel,2022,control,wa,380,938,28,32,3,1
total,recknagel,2022,control,ro,158,391,12,32,3,1
total,recknagel,2022,control,stm,143,353,6,32,3,1
total,recknagel,2022,control,remainder,475,1173,NA,32,3,6
total,recknagel,2022,control,TOTAL,6751,16674,NA,NA,NA,11
,,,,,,,,,,
,,,,,,,,,,
total,recknagel,2022,protected,ab,4808,11875,68,38,3,1
total,recknagel,2022,protected,ro,4635,11449,66,38,3,1
total,recknagel,2022,protected,sb,4350,10745,76,38,3,1
total,recknagel,2022,protected,rm,3261,8056,68,38,3,1
total,recknagel,2022,protected,eh,1026,2534,32,38,3,1
total,recknagel,2022,protected,remainder,4481,11068,NA,38,3,15
total,recknagel,2022,protected,TOTAL,22562,55727,NA,NA,NA,20
,,,,,,,,,,
,,,,,,,,,,
total,recknagel,2021,control,ab,2968,7330,47,32,2,1
total,recknagel,2021,control,eh,1139,2814,34,32,2,1
total,recknagel,2021,control,wa,95,235,6,32,2,1
total,recknagel,2021,control,stm,44,108,6,32,2,1
total,recknagel,2021,control,ba,32,78,3,32,2,1
total,recknagel,2021,control,remainder,95,235,NA,32,2,3
total,recknagel,2021,control,TOTAL,4372,10800,NA,NA,NA,8
,,,,,,,,,,
,,,,,,,,,,
total,recknagel,2021,protected,sb,3174,7840,58,38,2,1
total,recknagel,2021,protected,ab,2159,5333,55,38,2,1
total,recknagel,2021,protected,ro,2146,5301,42,38,2,1
total,recknagel,2021,protected,rm,1568,3874,53,38,2,1
total,recknagel,2021,protected,eh,1023,2526,21,38,2,1
total,recknagel,2021,protected,remainder,3338,8246,NA,38,2,14
total,recknagel,2021,protected,TOTAL,13409,33119,NA,NA,NA,19
,,,,,,,,,,
,,,,,,,,,,
total,recknagel,2020,control,eh,455,1124,19,32,1,1
total,recknagel,2020,control,ab,392,968,22,32,1,1
total,recknagel,2020,control,ah,32,78,3,32,1,1
total,recknagel,2020,control,sb,32,78,3,32,1,1
total,recknagel,2020,control,stm,32,78,3,32,1,1
total,recknagel,2020,control,remainder,32,78,NA,32,1,1
total,recknagel,2020,control,TOTAL,974,2405,NA,NA,NA,6
,,,,,,,,,,
,,,,,,,,,,
total,recknagel,2020,protected,sb,1812,4477,32,38,1,1
total,recknagel,2020,protected,eh,933,2304,16,38,1,1
total,recknagel,2020,protected,pc,720,1778,18,38,1,1
total,recknagel,2020,protected,ro,640,1580,24,38,1,1
total,recknagel,2020,protected,rm,414,1022,11,38,1,1
total,recknagel,2020,protected,remainder,1806,4461,NA,38,1,10
total,recknagel,2020,protected,TOTAL,6324,15621,NA,NA,NA,15
,,,,,,,,,,
,,,,,,,,,,
total,red_pine,2022,control,empty,0,0,100,29,5,1
total,red_pine,2022,control,TOTAL,0,0,NA,NA,NA,1
,,,,,,,,,,
,,,,,,,,,,
total,red_pine,2022,protected,empty,0,0,100,28,5,1
total,red_pine,2022,protected,TOTAL,0,0,NA,NA,NA,1
,,,,,,,,,,
,,,,,,,,,,
total,red_pine,2021,control,ab,4528,11184,55,29,4,1
total,red_pine,2021,control,svb,3624,8951,55,29,4,1
total,red_pine,2021,control,sb,3008,7430,79,29,4,1
total,red_pine,2021,control,rm,2426,5992,52,29,4,1
total,red_pine,2021,control,pb,966,2386,28,29,4,1
total,red_pine,2021,control,remainder,3415,8435,NA,29,4,15
total,red_pine,2021,control,TOTAL,17967,44378,NA,NA,NA,20
,,,,,,,,,,
,,,,,,,,,,
total,red_pine,2021,protected,rm,6470,15982,86,28,4,1
total,red_pine,2021,protected,svb,4837,11949,64,28,4,1
total,red_pine,2021,protected,pc,2557,6316,57,28,4,1
total,red_pine,2021,protected,wa,1703,4206,54,28,4,1
total,red_pine,2021,protected,qa,1696,4189,32,28,4,1
total,red_pine,2021,protected,remainder,5492,13564,NA,28,4,14
total,red_pine,2021,protected,TOTAL,22755,56205,NA,NA,NA,19
,,,,,,,,,,
,,,,,,,,,,
total,red_pine,2020,control,ab,4407,10885,62,29,3,1
total,red_pine,2020,control,svb,2445,6039,48,29,3,1
total,red_pine,2020,control,sb,2070,5114,66,29,3,1
total,red_pine,2020,control,rm,1738,4293,45,29,3,1
total,red_pine,2020,control,bta,939,2319,41,29,3,1
total,red_pine,2020,control,remainder,2155,5323,NA,29,3,13
total,red_pine,2020,control,TOTAL,13754,33973,NA,NA,NA,18
,,,,,,,,,,
,,,,,,,,,,
total,red_pine,2020,protected,rm,5170,12770,86,28,3,1
total,red_pine,2020,protected,svb,4079,10076,57,28,3,1
total,red_pine,2020,protected,pc,2638,6516,50,28,3,1
total,red_pine,2020,protected,wa,1479,3653,50,28,3,1
total,red_pine,2020,protected,bta,850,2099,36,28,3,1
total,red_pine,2020,protected,remainder,3311,8177,NA,28,3,14
total,red_pine,2020,protected,TOTAL,17527,43291,NA,NA,NA,19
,,,,,,,,,,
,,,,,,,,,,
total,red_pine,2019,control,ab,3799,9382,59,29,2,1
total,red_pine,2019,control,svb,2388,5899,48,29,2,1
total,red_pine,2019,control,sb,1969,4864,69,29,2,1
total,red_pine,2019,control,bta,1265,3125,38,29,2,1
total,red_pine,2019,control,rm,838,2070,34,29,2,1
total,red_pine,2019,control,remainder,1389,3430,NA,29,2,10
total,red_pine,2019,control,TOTAL,11648,28770,NA,NA,NA,15
,,,,,,,,,,
,,,,,,,,,,
total,red_pine,2019,protected,rm,5210,12868,82,28,2,1
total,red_pine,2019,protected,svb,5159,12744,64,28,2,1
total,red_pine,2019,protected,pc,2993,7393,54,28,2,1
total,red_pine,2019,protected,bta,1691,4178,57,28,2,1
total,red_pine,2019,protected,wa,1607,3969,46,28,2,1
total,red_pine,2019,protected,remainder,4416,10907,NA,28,2,15
total,red_pine,2019,protected,TOTAL,21076,52059,NA,NA,NA,20
,,,,,,,,,,
,,,,,,,,,,
total,sta_rd,2022,control,sb,6509,16077,53,34,5,1
total,sta_rd,2022,control,wa,1613,3984,47,34,5,1
total,sta_rd,2022,control,ab,566,1397,26,34,5,1
total,sta_rd,2022,control,rm,478,1180,21,34,5,1
total,sta_rd,2022,control,stm,269,665,21,34,5,1
total,sta_rd,2022,control,remainder,279,690,NA,34,5,4
total,sta_rd,2022,control,TOTAL,9714,23993,NA,NA,NA,9
,,,,,,,,,,
,,,,,,,,,,
total,sta_rd,2022,protected,sb,6983,17249,59,61,5,1
total,sta_rd,2022,protected,wa,4005,9893,67,61,5,1
total,sta_rd,2022,protected,pc,3508,8665,66,61,5,1
total,sta_rd,2022,protected,rm,2141,5288,48,61,5,1
total,sta_rd,2022,protected,ab,406,1002,23,61,5,1
total,sta_rd,2022,protected,remainder,1118,2761,NA,61,5,9
total,sta_rd,2022,protected,TOTAL,18161,44858,NA,NA,NA,14
,,,,,,,,,,
,,,,,,,,,,
total,sta_rd,2021,control,sb,5503,13593,56,34,4,1
total,sta_rd,2021,control,wa,1401,3461,41,34,4,1
total,sta_rd,2021,control,ab,498,1229,21,34,4,1
total,sta_rd,2021,control,rm,373,921,18,34,4,1
total,sta_rd,2021,control,stm,123,305,12,34,4,1
total,sta_rd,2021,control,remainder,190,469,NA,34,4,4
total,sta_rd,2021,control,TOTAL,8088,19978,NA,NA,NA,9
,,,,,,,,,,
,,,,,,,,,,
total,sta_rd,2021,protected,sb,5541,13686,54,61,4,1
total,sta_rd,2021,protected,pc,4073,10059,67,61,4,1
total,sta_rd,2021,protected,wa,2593,6404,52,61,4,1
total,sta_rd,2021,protected,rm,972,2402,30,61,4,1
total,sta_rd,2021,protected,ab,387,955,18,61,4,1
total,sta_rd,2021,protected,remainder,860,2125,NA,61,4,8
total,sta_rd,2021,protected,TOTAL,14425,35631,NA,NA,NA,13
,,,,,,,,,,
,,,,,,,,,,
total,sta_rd,2020,control,sb,5855,14463,56,34,3,1
total,sta_rd,2020,control,wa,1698,4194,38,34,3,1
total,sta_rd,2020,control,ab,448,1107,12,34,3,1
total,sta_rd,2020,control,rm,417,1030,15,34,3,1
total,sta_rd,2020,control,stm,160,396,12,34,3,1
total,sta_rd,2020,control,remainder,164,406,NA,34,3,3
total,sta_rd,2020,control,TOTAL,8743,21596,NA,NA,NA,8
,,,,,,,,,,
,,,,,,,,,,
total,sta_rd,2020,protected,sb,6137,15159,49,61,3,1
total,sta_rd,2020,protected,pc,3732,9218,51,61,3,1
total,sta_rd,2020,protected,wa,2275,5619,52,61,3,1
total,sta_rd,2020,protected,rm,655,1617,26,61,3,1
total,sta_rd,2020,protected,ab,235,580,13,61,3,1
total,sta_rd,2020,protected,remainder,636,1571,NA,61,3,8
total,sta_rd,2020,protected,TOTAL,13669,33762,NA,NA,NA,13
,,,,,,,,,,
,,,,,,,,,,
total,sta_rd,2019,control,sb,6331,15637,53,34,2,1
total,sta_rd,2019,control,wa,1519,3753,35,34,2,1
total,sta_rd,2019,control,ab,475,1173,18,34,2,1
total,sta_rd,2019,control,pc,309,764,18,34,2,1
total,sta_rd,2019,control,rm,268,662,12,34,2,1
total,sta_rd,2019,control,remainder,291,718,NA,34,2,3
total,sta_rd,2019,control,TOTAL,9193,22707,NA,NA,NA,8
,,,,,,,,,,
,,,,,,,,,,
total,sta_rd,2019,protected,sb,6698,16545,59,61,2,1
total,sta_rd,2019,protected,pc,4285,10584,62,61,2,1
total,sta_rd,2019,protected,wa,1411,3486,41,61,2,1
total,sta_rd,2019,protected,rm,621,1535,16,61,2,1
total,sta_rd,2019,protected,ab,521,1287,20,61,2,1
total,sta_rd,2019,protected,remainder,1122,2771,NA,61,2,10
total,sta_rd,2019,protected,TOTAL,14659,36208,NA,NA,NA,15
