describ,harvest,season,TRMT,spp,TOTAL_tpa,TOTAL_tpha,PCT_pts_present,wall_denom,age,spp_count
exp_GT_4.5ft,circle,2021,inside,pc,1428,3528,46,24,2,1
exp_GT_4.5ft,circle,2021,inside,bta,1139,2814,29,24,2,1
exp_GT_4.5ft,circle,2021,inside,eh,257,634,21,24,2,1
exp_GT_4.5ft,circle,2021,inside,ah,96,238,8,24,2,1
exp_GT_4.5ft,circle,2021,inside,sb,80,198,12,24,2,1
exp_GT_4.5ft,circle,2021,inside,remainder,160,396,NA,24,2,3
exp_GT_4.5ft,circle,2021,inside,TOTAL,3162,7809,NA,NA,2,8
exp_GT_4.5ft,circle,2020,inside,bta,658,1625,21,24,1,1
exp_GT_4.5ft,circle,2020,inside,pc,257,634,21,24,1,1
exp_GT_4.5ft,circle,2020,inside,eh,177,436,12,24,1,1
exp_GT_4.5ft,circle,2020,inside,ba,64,159,4,24,1,1
exp_GT_4.5ft,circle,2020,inside,TOTAL,1155,2854,NA,NA,1,4
exp_GT_4.5ft,decker,2022,outside,ab,51,127,13,15,3,1
exp_GT_4.5ft,decker,2022,outside,eh,26,63,7,15,3,1
exp_GT_4.5ft,decker,2022,outside,TOTAL,77,190,NA,NA,3,2
exp_GT_4.5ft,decker,2022,inside,ab,364,900,30,37,3,1
exp_GT_4.5ft,decker,2022,inside,sb,208,514,22,37,3,1
exp_GT_4.5ft,decker,2022,inside,bta,167,411,11,37,3,1
exp_GT_4.5ft,decker,2022,inside,stm,146,360,8,37,3,1
exp_GT_4.5ft,decker,2022,inside,rm,104,257,8,37,3,1
exp_GT_4.5ft,decker,2022,inside,remainder,375,926,NA,37,3,9
exp_GT_4.5ft,decker,2022,inside,TOTAL,1364,3368,NA,NA,3,14
exp_GT_4.5ft,decker,2021,inside,ab,281,694,30,37,2,1
exp_GT_4.5ft,decker,2021,inside,bta,167,411,11,37,2,1
exp_GT_4.5ft,decker,2021,inside,sb,104,257,11,37,2,1
exp_GT_4.5ft,decker,2021,inside,rm,83,206,5,37,2,1
exp_GT_4.5ft,decker,2021,inside,eh,83,206,14,37,2,1
exp_GT_4.5ft,decker,2021,inside,remainder,187,463,NA,37,2,7
exp_GT_4.5ft,decker,2021,inside,TOTAL,906,2237,NA,NA,2,12
exp_GT_4.5ft,decker,2020,inside,ab,198,489,24,37,1,1
exp_GT_4.5ft,decker,2020,inside,eh,31,77,8,37,1,1
exp_GT_4.5ft,decker,2020,inside,rm,21,51,3,37,1,1
exp_GT_4.5ft,decker,2020,inside,ah,10,26,3,37,1,1
exp_GT_4.5ft,decker,2020,inside,ba,10,26,3,37,1,1
exp_GT_4.5ft,decker,2020,inside,remainder,42,103,NA,37,1,4
exp_GT_4.5ft,decker,2020,inside,TOTAL,312,771,NA,NA,1,9
exp_GT_4.5ft,gas_line,2022,outside,sb,2628,6492,94,17,6,1
exp_GT_4.5ft,gas_line,2022,outside,ab,1427,3526,65,17,6,1
exp_GT_4.5ft,gas_line,2022,outside,ah,702,1735,35,17,6,1
exp_GT_4.5ft,gas_line,2022,outside,rm,430,1063,35,17,6,1
exp_GT_4.5ft,gas_line,2022,outside,stm,249,616,6,17,6,1
exp_GT_4.5ft,gas_line,2022,outside,remainder,861,2127,NA,17,6,8
exp_GT_4.5ft,gas_line,2022,outside,TOTAL,6298,15557,NA,NA,6,13
exp_GT_4.5ft,gas_line,2022,inside,sb,1100,2718,45,77,6,1
exp_GT_4.5ft,gas_line,2022,inside,pc,1050,2595,48,77,6,1
exp_GT_4.5ft,gas_line,2022,inside,ab,985,2434,30,77,6,1
exp_GT_4.5ft,gas_line,2022,inside,bta,970,2397,45,77,6,1
exp_GT_4.5ft,gas_line,2022,inside,wa,790,1952,44,77,6,1
exp_GT_4.5ft,gas_line,2022,inside,remainder,2411,5955,NA,77,6,14
exp_GT_4.5ft,gas_line,2022,inside,TOTAL,7308,18051,NA,NA,6,19
exp_GT_4.5ft,gas_line,2021,outside,sb,997,2462,59,17,5,1
exp_GT_4.5ft,gas_line,2021,outside,ab,634,1567,59,17,5,1
exp_GT_4.5ft,gas_line,2021,outside,ah,408,1007,18,17,5,1
exp_GT_4.5ft,gas_line,2021,outside,rm,385,951,29,17,5,1
exp_GT_4.5ft,gas_line,2021,outside,bta,159,392,18,17,5,1
exp_GT_4.5ft,gas_line,2021,outside,remainder,498,1231,NA,17,5,6
exp_GT_4.5ft,gas_line,2021,outside,TOTAL,3081,7611,NA,NA,5,11
exp_GT_4.5ft,gas_line,2021,inside,pc,1065,2632,47,77,5,1
exp_GT_4.5ft,gas_line,2021,inside,bta,955,2360,47,77,5,1
exp_GT_4.5ft,gas_line,2021,inside,sb,895,2212,38,77,5,1
exp_GT_4.5ft,gas_line,2021,inside,qa,665,1643,39,77,5,1
exp_GT_4.5ft,gas_line,2021,inside,wa,645,1594,39,77,5,1
exp_GT_4.5ft,gas_line,2021,inside,remainder,1906,4707,NA,77,5,16
exp_GT_4.5ft,gas_line,2021,inside,TOTAL,6133,15147,NA,NA,5,21
exp_GT_4.5ft,gas_line,2020,outside,sb,340,839,41,17,4,1
exp_GT_4.5ft,gas_line,2020,outside,rm,272,672,24,17,4,1
exp_GT_4.5ft,gas_line,2020,outside,eh,204,504,18,17,4,1
exp_GT_4.5ft,gas_line,2020,outside,bta,159,392,18,17,4,1
exp_GT_4.5ft,gas_line,2020,outside,ab,136,336,24,17,4,1
exp_GT_4.5ft,gas_line,2020,outside,remainder,385,951,NA,17,4,5
exp_GT_4.5ft,gas_line,2020,outside,TOTAL,1495,3693,NA,NA,4,10
exp_GT_4.5ft,gas_line,2020,inside,pc,960,2372,44,77,4,1
exp_GT_4.5ft,gas_line,2020,inside,qa,930,2298,42,77,4,1
exp_GT_4.5ft,gas_line,2020,inside,sb,930,2298,35,77,4,1
exp_GT_4.5ft,gas_line,2020,inside,bta,875,2162,34,77,4,1
exp_GT_4.5ft,gas_line,2020,inside,wa,485,1198,32,77,4,1
exp_GT_4.5ft,gas_line,2020,inside,remainder,1296,3200,NA,77,4,16
exp_GT_4.5ft,gas_line,2020,inside,TOTAL,5477,13529,NA,NA,4,21
exp_GT_4.5ft,gas_line,2019,outside,qa,181,448,18,17,3,1
exp_GT_4.5ft,gas_line,2019,outside,stm,136,336,6,17,3,1
exp_GT_4.5ft,gas_line,2019,outside,bta,113,280,12,17,3,1
exp_GT_4.5ft,gas_line,2019,outside,rm,113,280,12,17,3,1
exp_GT_4.5ft,gas_line,2019,outside,sb,91,224,12,17,3,1
exp_GT_4.5ft,gas_line,2019,outside,remainder,91,224,NA,17,3,3
exp_GT_4.5ft,gas_line,2019,outside,TOTAL,725,1791,NA,NA,3,8
exp_GT_4.5ft,gas_line,2019,inside,bta,1170,2891,52,77,3,1
exp_GT_4.5ft,gas_line,2019,inside,pc,945,2335,48,77,3,1
exp_GT_4.5ft,gas_line,2019,inside,sb,530,1310,21,77,3,1
exp_GT_4.5ft,gas_line,2019,inside,wa,370,914,22,77,3,1
exp_GT_4.5ft,gas_line,2019,inside,sm,215,531,21,77,3,1
exp_GT_4.5ft,gas_line,2019,inside,remainder,715,1767,NA,77,3,13
exp_GT_4.5ft,gas_line,2019,inside,TOTAL,3947,9748,NA,NA,3,18
exp_GT_4.5ft,recknagel,2022,outside,stm,48,119,3,32,3,1
exp_GT_4.5ft,recknagel,2022,outside,ab,24,59,6,32,3,1
exp_GT_4.5ft,recknagel,2022,outside,TOTAL,72,178,NA,NA,3,2
exp_GT_4.5ft,recknagel,2022,inside,sb,1125,2779,47,38,3,1
exp_GT_4.5ft,recknagel,2022,inside,eh,466,1152,32,38,3,1
exp_GT_4.5ft,recknagel,2022,inside,sm,223,551,18,38,3,1
exp_GT_4.5ft,recknagel,2022,inside,rm,223,551,18,38,3,1
exp_GT_4.5ft,recknagel,2022,inside,pc,213,526,32,38,3,1
exp_GT_4.5ft,recknagel,2022,inside,remainder,588,1452,NA,38,3,9
exp_GT_4.5ft,recknagel,2022,inside,TOTAL,2838,7010,NA,NA,3,14
exp_GT_4.5ft,recknagel,2021,outside,ab,24,59,6,32,2,1
exp_GT_4.5ft,recknagel,2021,outside,stm,12,30,3,32,2,1
exp_GT_4.5ft,recknagel,2021,outside,TOTAL,36,89,NA,NA,2,2
exp_GT_4.5ft,recknagel,2021,inside,eh,223,551,21,38,2,1
exp_GT_4.5ft,recknagel,2021,inside,rm,182,451,11,38,2,1
exp_GT_4.5ft,recknagel,2021,inside,sb,162,401,13,38,2,1
exp_GT_4.5ft,recknagel,2021,inside,bta,152,376,8,38,2,1
exp_GT_4.5ft,recknagel,2021,inside,pc,111,275,21,38,2,1
exp_GT_4.5ft,recknagel,2021,inside,remainder,264,651,NA,38,2,5
exp_GT_4.5ft,recknagel,2021,inside,TOTAL,1095,2704,NA,NA,2,10
exp_GT_4.5ft,recknagel,2020,outside,ab,12,30,3,32,1,1
exp_GT_4.5ft,recknagel,2020,outside,eh,12,30,3,32,1,1
exp_GT_4.5ft,recknagel,2020,outside,TOTAL,24,59,NA,NA,1,2
exp_GT_4.5ft,recknagel,2020,inside,rm,41,100,3,38,1,1
exp_GT_4.5ft,recknagel,2020,inside,bta,20,50,3,38,1,1
exp_GT_4.5ft,recknagel,2020,inside,TOTAL,61,150,NA,NA,1,2
exp_GT_4.5ft,red_pine,2022,outside,ab,1421,3510,48,29,6,1
exp_GT_4.5ft,red_pine,2022,outside,sb,943,2329,52,29,6,1
exp_GT_4.5ft,red_pine,2022,outside,rm,491,1214,28,29,6,1
exp_GT_4.5ft,red_pine,2022,outside,bta,359,886,28,29,6,1
exp_GT_4.5ft,red_pine,2022,outside,svb,213,525,24,29,6,1
exp_GT_4.5ft,red_pine,2022,outside,remainder,664,1640,NA,29,6,10
exp_GT_4.5ft,red_pine,2022,outside,TOTAL,4091,10104,NA,NA,6,15
exp_GT_4.5ft,red_pine,2022,inside,pc,1981,4893,54,28,6,1
exp_GT_4.5ft,red_pine,2022,inside,rm,1609,3975,54,28,6,1
exp_GT_4.5ft,red_pine,2022,inside,svb,1100,2718,39,28,6,1
exp_GT_4.5ft,red_pine,2022,inside,bta,990,2446,43,28,6,1
exp_GT_4.5ft,red_pine,2022,inside,wa,729,1801,46,28,6,1
exp_GT_4.5ft,red_pine,2022,inside,remainder,2050,5063,NA,28,6,15
exp_GT_4.5ft,red_pine,2022,inside,TOTAL,8460,20896,NA,NA,6,20
exp_GT_4.5ft,red_pine,2021,outside,ab,372,919,34,29,5,1
exp_GT_4.5ft,red_pine,2021,outside,bta,345,853,28,29,5,1
exp_GT_4.5ft,red_pine,2021,outside,sb,319,787,34,29,5,1
exp_GT_4.5ft,red_pine,2021,outside,rm,226,558,17,29,5,1
exp_GT_4.5ft,red_pine,2021,outside,pb,93,230,10,29,5,1
exp_GT_4.5ft,red_pine,2021,outside,remainder,372,919,NA,29,5,9
exp_GT_4.5ft,red_pine,2021,outside,TOTAL,1727,4265,NA,NA,5,14
exp_GT_4.5ft,red_pine,2021,inside,pc,1472,3635,50,28,5,1
exp_GT_4.5ft,red_pine,2021,inside,bta,812,2005,46,28,5,1
exp_GT_4.5ft,red_pine,2021,inside,rm,647,1597,39,28,5,1
exp_GT_4.5ft,red_pine,2021,inside,svb,605,1495,21,28,5,1
exp_GT_4.5ft,red_pine,2021,inside,wa,509,1257,39,28,5,1
exp_GT_4.5ft,red_pine,2021,inside,remainder,1348,3330,NA,28,5,11
exp_GT_4.5ft,red_pine,2021,inside,TOTAL,5392,13319,NA,NA,5,16
exp_GT_4.5ft,red_pine,2020,outside,bta,345,853,21,29,4,1
exp_GT_4.5ft,red_pine,2020,outside,ab,146,361,17,29,4,1
exp_GT_4.5ft,red_pine,2020,outside,sb,80,197,10,29,4,1
exp_GT_4.5ft,red_pine,2020,outside,ro,66,164,3,29,4,1
exp_GT_4.5ft,red_pine,2020,outside,co,53,131,3,29,4,1
exp_GT_4.5ft,red_pine,2020,outside,remainder,106,262,NA,29,4,4
exp_GT_4.5ft,red_pine,2020,outside,TOTAL,797,1968,NA,NA,4,9
exp_GT_4.5ft,red_pine,2020,inside,pc,1444,3568,43,28,4,1
exp_GT_4.5ft,red_pine,2020,inside,svb,702,1733,25,28,4,1
exp_GT_4.5ft,red_pine,2020,inside,bta,633,1563,36,28,4,1
exp_GT_4.5ft,red_pine,2020,inside,rm,468,1155,39,28,4,1
exp_GT_4.5ft,red_pine,2020,inside,qa,371,917,11,28,4,1
exp_GT_4.5ft,red_pine,2020,inside,remainder,990,2446,NA,28,4,9
exp_GT_4.5ft,red_pine,2020,inside,TOTAL,4608,11382,NA,NA,4,14
exp_GT_4.5ft,red_pine,2019,outside,bta,252,623,17,29,3,1
exp_GT_4.5ft,red_pine,2019,outside,ab,27,66,7,29,3,1
exp_GT_4.5ft,red_pine,2019,outside,co,13,33,3,29,3,1
exp_GT_4.5ft,red_pine,2019,outside,sb,13,33,3,29,3,1
exp_GT_4.5ft,red_pine,2019,outside,stm,13,33,3,29,3,1
exp_GT_4.5ft,red_pine,2019,outside,remainder,13,33,NA,29,3,1
exp_GT_4.5ft,red_pine,2019,outside,TOTAL,332,820,NA,NA,3,6
exp_GT_4.5ft,red_pine,2019,inside,pc,1279,3160,43,28,3,1
exp_GT_4.5ft,red_pine,2019,inside,bta,990,2446,46,28,3,1
exp_GT_4.5ft,red_pine,2019,inside,qa,812,2005,14,28,3,1
exp_GT_4.5ft,red_pine,2019,inside,svb,591,1461,32,28,3,1
exp_GT_4.5ft,red_pine,2019,inside,rm,399,985,36,28,3,1
exp_GT_4.5ft,red_pine,2019,inside,remainder,591,1461,NA,28,3,9
exp_GT_4.5ft,red_pine,2019,inside,TOTAL,4663,11518,NA,NA,3,14
exp_GT_4.5ft,sta_rd,2022,outside,sb,1325,3274,44,34,5,1
exp_GT_4.5ft,sta_rd,2022,outside,ab,238,588,26,34,5,1
exp_GT_4.5ft,sta_rd,2022,outside,rm,91,224,6,34,5,1
exp_GT_4.5ft,sta_rd,2022,outside,stm,91,224,9,34,5,1
exp_GT_4.5ft,sta_rd,2022,outside,wa,34,84,9,34,5,1
exp_GT_4.5ft,sta_rd,2022,outside,remainder,11,28,NA,34,5,1
exp_GT_4.5ft,sta_rd,2022,outside,TOTAL,1790,4421,NA,NA,5,6
exp_GT_4.5ft,sta_rd,2022,inside,pc,3176,7845,64,61,5,1
exp_GT_4.5ft,sta_rd,2022,inside,sb,1604,3961,49,61,5,1
exp_GT_4.5ft,sta_rd,2022,inside,bta,215,530,7,61,5,1
exp_GT_4.5ft,sta_rd,2022,inside,ba,158,390,8,61,5,1
exp_GT_4.5ft,sta_rd,2022,inside,wa,120,296,16,61,5,1
exp_GT_4.5ft,sta_rd,2022,inside,remainder,316,780,NA,61,5,6
exp_GT_4.5ft,sta_rd,2022,inside,TOTAL,5588,13802,NA,NA,5,11
exp_GT_4.5ft,sta_rd,2021,outside,sb,498,1231,26,34,4,1
exp_GT_4.5ft,sta_rd,2021,outside,ab,170,420,21,34,4,1
exp_GT_4.5ft,sta_rd,2021,outside,wa,91,224,6,34,4,1
exp_GT_4.5ft,sta_rd,2021,outside,rm,45,112,6,34,4,1
exp_GT_4.5ft,sta_rd,2021,outside,stm,34,84,3,34,4,1
exp_GT_4.5ft,sta_rd,2021,outside,remainder,11,28,NA,34,4,1
exp_GT_4.5ft,sta_rd,2021,outside,TOTAL,850,2099,NA,NA,4,6
exp_GT_4.5ft,sta_rd,2021,inside,pc,3176,7845,66,61,4,1
exp_GT_4.5ft,sta_rd,2021,inside,sb,859,2121,38,61,4,1
exp_GT_4.5ft,sta_rd,2021,inside,bta,177,437,7,61,4,1
exp_GT_4.5ft,sta_rd,2021,inside,ba,101,250,5,61,4,1
exp_GT_4.5ft,sta_rd,2021,inside,rm,76,187,7,61,4,1
exp_GT_4.5ft,sta_rd,2021,inside,remainder,158,390,NA,61,4,8
exp_GT_4.5ft,sta_rd,2021,inside,TOTAL,4546,11229,NA,NA,4,13
exp_GT_4.5ft,sta_rd,2020,outside,sb,136,336,18,34,3,1
exp_GT_4.5ft,sta_rd,2020,outside,ab,91,224,6,34,3,1
exp_GT_4.5ft,sta_rd,2020,outside,bta,34,84,3,34,3,1
exp_GT_4.5ft,sta_rd,2020,outside,stm,11,28,3,34,3,1
exp_GT_4.5ft,sta_rd,2020,outside,TOTAL,272,672,NA,NA,3,4
exp_GT_4.5ft,sta_rd,2020,inside,pc,2658,6566,49,61,3,1
exp_GT_4.5ft,sta_rd,2020,inside,sb,442,1092,21,61,3,1
exp_GT_4.5ft,sta_rd,2020,inside,bta,215,530,8,61,3,1
exp_GT_4.5ft,sta_rd,2020,inside,ba,95,234,5,61,3,1
exp_GT_4.5ft,sta_rd,2020,inside,rm,57,140,5,61,3,1
exp_GT_4.5ft,sta_rd,2020,inside,remainder,57,140,NA,61,3,5
exp_GT_4.5ft,sta_rd,2020,inside,TOTAL,3523,8702,NA,NA,3,10
exp_GT_4.5ft,sta_rd,2019,outside,ab,147,364,12,34,2,1
exp_GT_4.5ft,sta_rd,2019,outside,sb,45,112,6,34,2,1
exp_GT_4.5ft,sta_rd,2019,outside,bta,23,56,3,34,2,1
exp_GT_4.5ft,sta_rd,2019,outside,pc,11,28,3,34,2,1
exp_GT_4.5ft,sta_rd,2019,outside,TOTAL,227,560,NA,NA,2,4
exp_GT_4.5ft,sta_rd,2019,inside,pc,2462,6082,51,61,2,1
exp_GT_4.5ft,sta_rd,2019,inside,ba,164,405,7,61,2,1
exp_GT_4.5ft,sta_rd,2019,inside,bta,164,405,7,61,2,1
exp_GT_4.5ft,sta_rd,2019,inside,rm,57,140,5,61,2,1
exp_GT_4.5ft,sta_rd,2019,inside,sb,57,140,10,61,2,1
exp_GT_4.5ft,sta_rd,2019,inside,remainder,69,172,NA,61,2,5
exp_GT_4.5ft,sta_rd,2019,inside,TOTAL,2974,7346,NA,NA,2,10
