describ,harvest,season,TRMT,spp,TOTAL_tpa,TOTAL_tpha,PCT_pts_present,wall_denom,age,spp_count
total,decker,2020,outside,eh,540,1334,13,15,1,1
total,decker,2020,outside,ah,338,834,13,15,1,1
total,decker,2020,outside,sb,338,834,20,15,1,1
total,decker,2020,outside,ab,68,167,7,15,1,1
total,decker,2020,outside,TOTAL,1283,3169,NA,NA,NA,4
total,decker,2020,inside,ab,1183,2923,35,37,1,1
total,decker,2020,inside,bta,339,837,8,37,1,1
total,decker,2020,inside,stm,284,702,8,37,1,1
total,decker,2020,inside,sb,229,567,11,37,1,1
total,decker,2020,inside,eh,168,415,16,37,1,1
total,decker,2020,inside,remainder,600,1481,NA,37,1,8
total,decker,2020,inside,TOTAL,2803,6924,NA,NA,NA,13
total,gas_line,2022,outside,sb,8586,21207,94,17,6,1
total,gas_line,2022,outside,ab,3215,7940,76,17,6,1
total,gas_line,2022,outside,rm,1384,3418,53,17,6,1
total,gas_line,2022,outside,ah,1358,3354,47,17,6,1
total,gas_line,2022,outside,wa,1305,3223,24,17,6,1
total,gas_line,2022,outside,remainder,4691,11586,NA,17,6,13
total,gas_line,2022,outside,TOTAL,20538,50728,NA,NA,NA,18
total,gas_line,2022,inside,ab,2327,5748,39,77,6,1
total,gas_line,2022,inside,wa,1961,4844,56,77,6,1
total,gas_line,2022,inside,sb,1863,4603,48,77,6,1
total,gas_line,2022,inside,qa,1462,3612,39,77,6,1
total,gas_line,2022,inside,pc,1208,2984,51,77,6,1
total,gas_line,2022,inside,remainder,4997,12342,NA,77,6,16
total,gas_line,2022,inside,TOTAL,13819,34133,NA,NA,NA,21
total,gas_line,2021,outside,sb,6955,17178,94,17,5,1
total,gas_line,2021,outside,ab,3435,8483,82,17,5,1
total,gas_line,2021,outside,ah,1599,3950,29,17,5,1
total,gas_line,2021,outside,wa,1260,3111,29,17,5,1
total,gas_line,2021,outside,rm,1160,2864,35,17,5,1
total,gas_line,2021,outside,remainder,4164,10285,NA,17,5,10
total,gas_line,2021,outside,TOTAL,18572,45872,NA,NA,NA,15
total,gas_line,2021,inside,ab,2241,5536,32,77,5,1
total,gas_line,2021,inside,wa,1895,4680,56,77,5,1
total,gas_line,2021,inside,sb,1827,4512,47,77,5,1
total,gas_line,2021,inside,qa,1486,3670,44,77,5,1
total,gas_line,2021,inside,bta,1389,3432,48,77,5,1
total,gas_line,2021,inside,remainder,5316,13131,NA,77,5,17
total,gas_line,2021,inside,TOTAL,14154,34961,NA,NA,NA,22
total,gas_line,2020,outside,sb,6320,15611,76,17,4,1
total,gas_line,2020,outside,ab,3532,8724,76,17,4,1
total,gas_line,2020,outside,eh,1455,3594,47,17,4,1
total,gas_line,2020,outside,wa,1237,3055,29,17,4,1
total,gas_line,2020,outside,rm,1106,2732,41,17,4,1
total,gas_line,2020,outside,remainder,3894,9619,NA,17,4,10
total,gas_line,2020,outside,TOTAL,17545,43335,NA,NA,NA,15
total,gas_line,2020,inside,ab,2220,5483,34,77,4,1
total,gas_line,2020,inside,wa,1737,4290,52,77,4,1
total,gas_line,2020,inside,sb,1575,3890,43,77,4,1
total,gas_line,2020,inside,qa,1549,3825,45,77,4,1
total,gas_line,2020,inside,pc,1334,3294,45,77,4,1
total,gas_line,2020,inside,remainder,4775,11795,NA,77,4,19
total,gas_line,2020,inside,TOTAL,13189,32577,NA,NA,NA,24
total,gas_line,2019,outside,sb,6346,15676,65,17,3,1
total,gas_line,2019,outside,ab,2882,7120,65,17,3,1
total,gas_line,2019,outside,wa,1333,3293,29,17,3,1
total,gas_line,2019,outside,qa,1254,3097,47,17,3,1
total,gas_line,2019,outside,rm,1245,3076,41,17,3,1
total,gas_line,2019,outside,remainder,4703,11617,NA,17,3,12
total,gas_line,2019,outside,TOTAL,17764,43878,NA,NA,NA,17
total,gas_line,2019,inside,bta,3323,8207,61,77,3,1
total,gas_line,2019,inside,ab,2473,6109,27,77,3,1
total,gas_line,2019,inside,wa,1598,3948,45,77,3,1
total,gas_line,2019,inside,pc,1512,3735,51,77,3,1
total,gas_line,2019,inside,sb,1251,3089,29,77,3,1
total,gas_line,2019,inside,remainder,3573,8825,NA,77,3,15
total,gas_line,2019,inside,TOTAL,13730,33913,NA,NA,NA,20
total,recknagel,2022,outside,ab,4360,10770,47,32,3,1
total,recknagel,2022,outside,eh,1234,3049,38,32,3,1
total,recknagel,2022,outside,wa,380,938,28,32,3,1
total,recknagel,2022,outside,ro,158,391,12,32,3,1
total,recknagel,2022,outside,stm,143,353,6,32,3,1
total,recknagel,2022,outside,remainder,475,1173,NA,32,3,6
total,recknagel,2022,outside,TOTAL,6751,16674,NA,NA,NA,11
total,recknagel,2022,inside,ab,4808,11875,68,38,3,1
total,recknagel,2022,inside,ro,4635,11449,66,38,3,1
total,recknagel,2022,inside,sb,4350,10745,76,38,3,1
total,recknagel,2022,inside,rm,3261,8056,68,38,3,1
total,recknagel,2022,inside,eh,1026,2534,32,38,3,1
total,recknagel,2022,inside,remainder,4481,11068,NA,38,3,15
total,recknagel,2022,inside,TOTAL,22562,55727,NA,NA,NA,20
total,recknagel,2021,outside,ab,2968,7330,47,32,2,1
total,recknagel,2021,outside,eh,1139,2814,34,32,2,1
total,recknagel,2021,outside,wa,95,235,6,32,2,1
total,recknagel,2021,outside,stm,44,108,6,32,2,1
total,recknagel,2021,outside,ba,32,78,3,32,2,1
total,recknagel,2021,outside,remainder,95,235,NA,32,2,3
total,recknagel,2021,outside,TOTAL,4372,10800,NA,NA,NA,8
total,recknagel,2021,inside,sb,3174,7840,58,38,2,1
total,recknagel,2021,inside,ab,2159,5333,55,38,2,1
total,recknagel,2021,inside,ro,2146,5301,42,38,2,1
total,recknagel,2021,inside,rm,1568,3874,53,38,2,1
total,recknagel,2021,inside,eh,1023,2526,21,38,2,1
total,recknagel,2021,inside,remainder,3338,8246,NA,38,2,14
total,recknagel,2021,inside,TOTAL,13409,33119,NA,NA,NA,19
total,recknagel,2020,outside,eh,455,1124,19,32,1,1
total,recknagel,2020,outside,ab,392,968,22,32,1,1
total,recknagel,2020,outside,ah,32,78,3,32,1,1
total,recknagel,2020,outside,sb,32,78,3,32,1,1
total,recknagel,2020,outside,stm,32,78,3,32,1,1
total,recknagel,2020,outside,remainder,32,78,NA,32,1,1
total,recknagel,2020,outside,TOTAL,974,2405,NA,NA,NA,6
total,recknagel,2020,inside,sb,1812,4477,32,38,1,1
total,recknagel,2020,inside,eh,933,2304,16,38,1,1
total,recknagel,2020,inside,pc,720,1778,18,38,1,1
total,recknagel,2020,inside,ro,640,1580,24,38,1,1
total,recknagel,2020,inside,rm,414,1022,11,38,1,1
total,recknagel,2020,inside,remainder,1806,4461,NA,38,1,10
total,recknagel,2020,inside,TOTAL,6324,15621,NA,NA,NA,15
total,red_pine,2022,outside,ab,5298,13086,59,29,6,1
total,red_pine,2022,outside,svb,3915,9669,66,29,6,1
total,red_pine,2022,outside,sb,3562,8799,79,29,6,1
total,red_pine,2022,outside,rm,3320,8201,66,29,6,1
total,red_pine,2022,outside,pb,1250,3089,31,29,6,1
total,red_pine,2022,outside,remainder,4697,11601,NA,29,6,17
total,red_pine,2022,outside,TOTAL,22042,54444,NA,NA,NA,22
total,red_pine,2022,inside,rm,8012,19790,89,28,6,1
total,red_pine,2022,inside,svb,4826,11921,54,28,6,1
total,red_pine,2022,inside,pc,3102,7662,57,28,6,1
total,red_pine,2022,inside,wa,1633,4034,50,28,6,1
total,red_pine,2022,inside,bta,1533,3787,43,28,6,1
total,red_pine,2022,inside,remainder,6065,14980,NA,28,6,17
total,red_pine,2022,inside,TOTAL,25172,62174,NA,NA,NA,22
total,red_pine,2021,outside,ab,4528,11184,55,29,5,1
total,red_pine,2021,outside,svb,3624,8951,55,29,5,1
total,red_pine,2021,outside,sb,3008,7430,79,29,5,1
total,red_pine,2021,outside,rm,2426,5992,52,29,5,1
total,red_pine,2021,outside,pb,966,2386,28,29,5,1
total,red_pine,2021,outside,remainder,3415,8435,NA,29,5,15
total,red_pine,2021,outside,TOTAL,17967,44378,NA,NA,NA,20
total,red_pine,2021,inside,rm,6470,15982,86,28,5,1
total,red_pine,2021,inside,svb,4837,11949,64,28,5,1
total,red_pine,2021,inside,pc,2557,6316,57,28,5,1
total,red_pine,2021,inside,wa,1703,4206,54,28,5,1
total,red_pine,2021,inside,qa,1696,4189,32,28,5,1
total,red_pine,2021,inside,remainder,5492,13564,NA,28,5,14
total,red_pine,2021,inside,TOTAL,22755,56205,NA,NA,NA,19
total,red_pine,2020,outside,ab,4407,10885,62,29,4,1
total,red_pine,2020,outside,svb,2445,6039,48,29,4,1
total,red_pine,2020,outside,sb,2070,5114,66,29,4,1
total,red_pine,2020,outside,rm,1738,4293,45,29,4,1
total,red_pine,2020,outside,bta,939,2319,41,29,4,1
total,red_pine,2020,outside,remainder,2155,5323,NA,29,4,13
total,red_pine,2020,outside,TOTAL,13754,33973,NA,NA,NA,18
total,red_pine,2020,inside,rm,5170,12770,86,28,4,1
total,red_pine,2020,inside,svb,4079,10076,57,28,4,1
total,red_pine,2020,inside,pc,2638,6516,50,28,4,1
total,red_pine,2020,inside,wa,1479,3653,50,28,4,1
total,red_pine,2020,inside,bta,850,2099,36,28,4,1
total,red_pine,2020,inside,remainder,3311,8177,NA,28,4,14
total,red_pine,2020,inside,TOTAL,17527,43291,NA,NA,NA,19
total,red_pine,2019,outside,ab,3799,9382,59,29,3,1
total,red_pine,2019,outside,svb,2388,5899,48,29,3,1
total,red_pine,2019,outside,sb,1969,4864,69,29,3,1
total,red_pine,2019,outside,bta,1265,3125,38,29,3,1
total,red_pine,2019,outside,rm,838,2070,34,29,3,1
total,red_pine,2019,outside,remainder,1389,3430,NA,29,3,10
total,red_pine,2019,outside,TOTAL,11648,28770,NA,NA,NA,15
total,red_pine,2019,inside,rm,5210,12868,82,28,3,1
total,red_pine,2019,inside,svb,5159,12744,64,28,3,1
total,red_pine,2019,inside,pc,2993,7393,54,28,3,1
total,red_pine,2019,inside,bta,1691,4178,57,28,3,1
total,red_pine,2019,inside,wa,1607,3969,46,28,3,1
total,red_pine,2019,inside,remainder,4416,10907,NA,28,3,15
total,red_pine,2019,inside,TOTAL,21076,52059,NA,NA,NA,20
total,sta_rd,2022,outside,sb,6509,16077,53,34,5,1
total,sta_rd,2022,outside,wa,1613,3984,47,34,5,1
total,sta_rd,2022,outside,ab,566,1397,26,34,5,1
total,sta_rd,2022,outside,rm,478,1180,21,34,5,1
total,sta_rd,2022,outside,stm,269,665,21,34,5,1
total,sta_rd,2022,outside,remainder,279,690,NA,34,5,4
total,sta_rd,2022,outside,TOTAL,9714,23993,NA,NA,NA,9
total,sta_rd,2022,inside,sb,7000,17290,61,61,5,1
total,sta_rd,2022,inside,wa,4038,9975,69,61,5,1
total,sta_rd,2022,inside,pc,3508,8665,66,61,5,1
total,sta_rd,2022,inside,rm,2141,5288,48,61,5,1
total,sta_rd,2022,inside,qa,485,1197,13,61,5,1
total,sta_rd,2022,inside,remainder,1450,3581,NA,61,5,10
total,sta_rd,2022,inside,TOTAL,18622,45996,NA,NA,NA,15
total,sta_rd,2021,outside,sb,5503,13593,56,34,4,1
total,sta_rd,2021,outside,wa,1401,3461,41,34,4,1
total,sta_rd,2021,outside,ab,498,1229,21,34,4,1
total,sta_rd,2021,outside,rm,373,921,18,34,4,1
total,sta_rd,2021,outside,stm,123,305,12,34,4,1
total,sta_rd,2021,outside,remainder,190,469,NA,34,4,4
total,sta_rd,2021,outside,TOTAL,8088,19978,NA,NA,NA,9
total,sta_rd,2021,inside,sb,5541,13686,54,61,4,1
total,sta_rd,2021,inside,pc,4073,10059,67,61,4,1
total,sta_rd,2021,inside,wa,2593,6404,52,61,4,1
total,sta_rd,2021,inside,rm,972,2402,30,61,4,1
total,sta_rd,2021,inside,ab,387,955,18,61,4,1
total,sta_rd,2021,inside,remainder,860,2125,NA,61,4,8
total,sta_rd,2021,inside,TOTAL,14425,35631,NA,NA,NA,13
total,sta_rd,2020,outside,sb,5855,14463,56,34,3,1
total,sta_rd,2020,outside,wa,1698,4194,38,34,3,1
total,sta_rd,2020,outside,ab,448,1107,12,34,3,1
total,sta_rd,2020,outside,rm,417,1030,15,34,3,1
total,sta_rd,2020,outside,stm,160,396,12,34,3,1
total,sta_rd,2020,outside,remainder,164,406,NA,34,3,3
total,sta_rd,2020,outside,TOTAL,8743,21596,NA,NA,NA,8
total,sta_rd,2020,inside,sb,6137,15159,49,61,3,1
total,sta_rd,2020,inside,pc,3732,9218,51,61,3,1
total,sta_rd,2020,inside,wa,2275,5619,52,61,3,1
total,sta_rd,2020,inside,rm,655,1617,26,61,3,1
total,sta_rd,2020,inside,ab,235,580,13,61,3,1
total,sta_rd,2020,inside,remainder,636,1571,NA,61,3,8
total,sta_rd,2020,inside,TOTAL,13669,33762,NA,NA,NA,13
total,sta_rd,2019,outside,sb,6331,15637,50,34,2,1
total,sta_rd,2019,outside,wa,1519,3753,35,34,2,1
total,sta_rd,2019,outside,ab,475,1173,18,34,2,1
total,sta_rd,2019,outside,pc,309,764,18,34,2,1
total,sta_rd,2019,outside,rm,268,662,12,34,2,1
total,sta_rd,2019,outside,remainder,291,718,NA,34,2,3
total,sta_rd,2019,outside,TOTAL,9193,22707,NA,NA,NA,8
total,sta_rd,2019,inside,sb,6698,16545,59,61,2,1
total,sta_rd,2019,inside,pc,4285,10584,61,61,2,1
total,sta_rd,2019,inside,wa,1411,3486,41,61,2,1
total,sta_rd,2019,inside,rm,621,1535,16,61,2,1
total,sta_rd,2019,inside,ab,521,1287,20,61,2,1
total,sta_rd,2019,inside,remainder,1122,2771,NA,61,2,10
total,sta_rd,2019,inside,TOTAL,14659,36208,NA,NA,NA,15
