harvest,season,wall,type,tpa,wall_denom,points_occupied,age,spp_freq
gas_line,2020,protected,interfering,1010.4170266637306,77,41,3,53.246753246753244
gas_line,2020,protected,other,25.01032244217157,77,4,3,5.194805194805195
gas_line,2021,control,commercial,1427.3538137291082,17,13,4,76.47058823529412
gas_line,2021,protected,commercial,1815.7494093016553,77,66,4,85.71428571428571
gas_line,2021,control,diversity,339.84614612597824,17,5,4,29.411764705882355
gas_line,2021,protected,diversity,1510.6234755071619,77,47,4,61.038961038961034
gas_line,2021,control,interfering,770.3179312188835,17,10,4,58.82352941176471
gas_line,2021,protected,interfering,1560.6441203915049,77,43,4,55.84415584415584
gas_line,2021,control,other,407.8153753511735,17,3,4,17.647058823529413
gas_line,2021,protected,other,70.02890283808037,77,6,4,7.792207792207792
gas_line,2022,control,commercial,2967.989676166875,17,15,5,88.23529411764706
gas_line,2022,protected,commercial,1880.7762476513005,77,69,5,89.6103896103896
gas_line,2022,control,diversity,453.12819483463704,17,7,5,41.17647058823529
gas_line,2022,protected,diversity,1410.5821857384753,77,43,5,55.84415584415584
gas_line,2022,control,interfering,1585.9486819212311,17,12,5,70.58823529411765
gas_line,2022,protected,interfering,1780.7349578826145,77,50,5,64.93506493506493
gas_line,2022,control,other,702.3487019936883,17,6,5,35.294117647058826
gas_line,2022,protected,other,70.02890283808024,77,5,5,6.493506493506493
recknagel,2020,protected,commercial,40.54304901152026,38,1,1,2.631578947368421
recknagel,2020,protected,diversity,20.27152450576013,38,1,1,2.631578947368421
recknagel,2020,control,interfering,24.072435350590126,32,2,1,6.25
recknagel,2021,protected,commercial,506.7881126440026,38,11,2,28.947368421052634
recknagel,2021,protected,diversity,152.0364337932005,38,3,2,7.894736842105263
recknagel,2021,control,interfering,36.10865302588519,32,3,2,9.375
recknagel,2021,protected,interfering,395.29472786232185,38,16,2,42.10526315789473
recknagel,2021,protected,other,10.135762252880053,38,1,2,2.631578947368421
recknagel,2022,protected,commercial,1702.8080584838483,38,27,3,71.05263157894737
recknagel,2022,protected,diversity,152.03643379320056,38,4,3,10.526315789473683
recknagel,2022,control,interfering,72.21730605177044,32,3,3,9.375
recknagel,2022,protected,interfering,780.4536934717639,38,22,3,57.89473684210527
recknagel,2022,protected,other,70.95033577016045,38,4,3,10.526315789473683
red_pine,2019,control,commercial,26.562687283409794,29,2,2,6.896551724137931
red_pine,2019,protected,commercial,619.0054804437461,28,15,2,53.57142857142857
red_pine,2019,control,diversity,225.7828419089828,29,5,2,17.24137931034483
red_pine,2019,protected,diversity,1857.0164413312382,28,20,2,71.42857142857143
red_pine,2019,control,interfering,39.844030925114694,29,3,2,10.344827586206897
red_pine,2019,protected,interfering,1444.3461210354076,28,12,2,42.857142857142854
red_pine,2019,protected,other,96.28974140236032,28,2,2,7.142857142857142
red_pine,2020,control,commercial,225.78284190898327,29,5,3,17.24137931034483
red_pine,2020,protected,commercial,1072.9428327691598,28,19,3,67.85714285714286
red_pine,2020,control,diversity,292.18956011750765,29,6,3,20.689655172413794
red_pine,2020,protected,diversity,1279.2779929170752,28,15,3,53.57142857142857
red_pine,2020,control,interfering,212.50149826727827,29,8,3,27.586206896551722
red_pine,2020,protected,interfering,1416.834766349018,28,13,3,46.42857142857143
red_pine,2021,control,commercial,717.1925566520637,29,13,4,44.827586206896555
red_pine,2021,protected,commercial,1416.834766349019,28,21,4,75
red_pine,2021,control,diversity,411.7216528928519,29,10,4,34.48275862068966
red_pine,2021,protected,diversity,1581.9028944673503,28,18,4,64.28571428571429
red_pine,2021,control,interfering,517.9724020264904,29,12,4,41.37931034482759
red_pine,2021,protected,interfering,1691.9483132129037,28,15,4,53.57142857142857
red_pine,2021,control,other,13.281343641704897,29,1,4,3.4482758620689653
red_pine,2021,protected,other,41.26703202958286,28,1,4,3.571428571428571
sta_rd,2019,control,commercial,45.312819483463585,34,2,2,5.88235294117647
sta_rd,2019,protected,commercial,252.56325613733915,61,13,2,21.311475409836063
sta_rd,2019,protected,diversity,164.16611648927022,61,6,2,9.836065573770492
sta_rd,2019,control,interfering,158.59486819212287,34,5,2,14.705882352941178
sta_rd,2019,protected,interfering,1856.3399326094402,61,32,2,52.459016393442624
sta_rd,2020,control,commercial,124.61025357952505,34,5,3,14.705882352941178
sta_rd,2020,protected,commercial,517.754675081545,61,16,3,26.229508196721312
sta_rd,2020,protected,diversity,164.1661164892704,61,7,3,11.475409836065573
sta_rd,2020,control,interfering,90.62563896692761,34,2,3,5.88235294117647
sta_rd,2020,protected,interfering,1496.4372926137341,61,30,3,49.18032786885246
sta_rd,2021,control,commercial,623.0512678976271,34,13,4,38.23529411764706
sta_rd,2021,protected,commercial,984.9966989356219,61,32,4,52.459016393442624
sta_rd,2021,protected,diversity,132.5957094721031,61,9,4,14.754098360655737
sta_rd,2021,control,interfering,169.92307306298898,34,7,4,20.588235294117645
sta_rd,2021,protected,interfering,1995.249723484977,61,43,4,70.49180327868852
sta_rd,2022,control,commercial,1246.102535795254,34,18,5,52.94117647058824
sta_rd,2022,protected,commercial,1881.5962582231746,61,41,5,67.21311475409836
sta_rd,2022,protected,diversity,176.7942792961373,61,10,5,16.39344262295082
sta_rd,2022,control,interfering,283.2051217716483,34,10,5,29.411764705882355
sta_rd,2022,protected,interfering,1938.4229908540767,61,42,5,68.85245901639344
