describ,harvest,season,TRMT,spp,TOTAL_tpa,TOTAL_tpha,PCT_pts_present,wall_denom,age,spp_count
dsrd_exp_gt4.5ft,gas_line,2020,inside,wa,485,1198,32,77,4,1
dsrd_exp_gt4.5ft,gas_line,2020,inside,sm,300,741,26,77,4,1
dsrd_exp_gt4.5ft,gas_line,2020,inside,rm,235,581,10,77,4,1
dsrd_exp_gt4.5ft,gas_line,2020,inside,bc,65,161,9,77,4,1
dsrd_exp_gt4.5ft,gas_line,2020,inside,ba,55,136,5,77,4,1
dsrd_exp_gt4.5ft,gas_line,2020,inside,remainder,50,124,NA,77,4,3
dsrd_exp_gt4.5ft,gas_line,2020,inside,dsrd_exp_gt4.5ft,1190,2941,NA,NA,NA,8
dsrd_exp_gt4.5ft,gas_line,2019,outside,rm,113,280,12,17,3,1
dsrd_exp_gt4.5ft,gas_line,2019,outside,bc,45,112,6,17,3,1
dsrd_exp_gt4.5ft,gas_line,2019,outside,wa,23,56,6,17,3,1
dsrd_exp_gt4.5ft,gas_line,2019,outside,dsrd_exp_gt4.5ft,181,448,NA,NA,NA,3
dsrd_exp_gt4.5ft,gas_line,2019,inside,wa,370,914,22,77,3,1
dsrd_exp_gt4.5ft,gas_line,2019,inside,sm,215,531,21,77,3,1
dsrd_exp_gt4.5ft,gas_line,2019,inside,rm,155,383,10,77,3,1
dsrd_exp_gt4.5ft,gas_line,2019,inside,bc,95,235,13,77,3,1
dsrd_exp_gt4.5ft,gas_line,2019,inside,ba,40,99,5,77,3,1
dsrd_exp_gt4.5ft,gas_line,2019,inside,remainder,25,62,NA,77,3,2
dsrd_exp_gt4.5ft,gas_line,2019,inside,dsrd_exp_gt4.5ft,900,2224,NA,NA,NA,7
dsrd_exp_gt4.5ft,recknagel,2022,inside,sm,223,551,18,38,3,1
dsrd_exp_gt4.5ft,recknagel,2022,inside,rm,223,551,18,38,3,1
dsrd_exp_gt4.5ft,recknagel,2022,inside,wa,101,250,11,38,3,1
dsrd_exp_gt4.5ft,recknagel,2022,inside,bc,81,200,11,38,3,1
dsrd_exp_gt4.5ft,recknagel,2022,inside,ro,51,125,5,38,3,1
dsrd_exp_gt4.5ft,recknagel,2022,inside,remainder,10,25,NA,38,3,1
dsrd_exp_gt4.5ft,recknagel,2022,inside,dsrd_exp_gt4.5ft,689,1702,NA,NA,NA,6
dsrd_exp_gt4.5ft,recknagel,2021,inside,rm,182,451,11,38,2,1
dsrd_exp_gt4.5ft,recknagel,2021,inside,sm,111,275,8,38,2,1
dsrd_exp_gt4.5ft,recknagel,2021,inside,ro,41,100,3,38,2,1
dsrd_exp_gt4.5ft,recknagel,2021,inside,bc,41,100,5,38,2,1
dsrd_exp_gt4.5ft,recknagel,2021,inside,dsrd_exp_gt4.5ft,375,926,NA,NA,NA,4
dsrd_exp_gt4.5ft,recknagel,2020,inside,rm,41,100,3,38,1,1
dsrd_exp_gt4.5ft,recknagel,2020,inside,dsrd_exp_gt4.5ft,41,100,NA,NA,NA,1
dsrd_exp_gt4.5ft,red_pine,2022,outside,rm,491,1214,28,29,6,1
dsrd_exp_gt4.5ft,red_pine,2022,outside,ro,186,459,14,29,6,1
dsrd_exp_gt4.5ft,red_pine,2022,outside,co,53,131,7,29,6,1
dsrd_exp_gt4.5ft,red_pine,2022,outside,bc,13,33,3,29,6,1
dsrd_exp_gt4.5ft,red_pine,2022,outside,wa,13,33,3,29,6,1
dsrd_exp_gt4.5ft,red_pine,2022,outside,dsrd_exp_gt4.5ft,757,1870,NA,NA,NA,5
dsrd_exp_gt4.5ft,red_pine,2022,inside,rm,1609,3975,54,28,6,1
dsrd_exp_gt4.5ft,red_pine,2022,inside,wa,729,1801,46,28,6,1
dsrd_exp_gt4.5ft,red_pine,2022,inside,ro,371,917,54,28,6,1
dsrd_exp_gt4.5ft,red_pine,2022,inside,bc,138,340,11,28,6,1
dsrd_exp_gt4.5ft,red_pine,2022,inside,co,41,102,7,28,6,1
dsrd_exp_gt4.5ft,red_pine,2022,inside,remainder,41,102,NA,28,6,3
dsrd_exp_gt4.5ft,red_pine,2022,inside,dsrd_exp_gt4.5ft,2930,7237,NA,NA,NA,8
dsrd_exp_gt4.5ft,red_pine,2021,outside,rm,226,558,17,29,5,1
dsrd_exp_gt4.5ft,red_pine,2021,outside,co,93,230,7,29,5,1
dsrd_exp_gt4.5ft,red_pine,2021,outside,ro,66,164,3,29,5,1
dsrd_exp_gt4.5ft,red_pine,2021,outside,bc,13,33,3,29,5,1
dsrd_exp_gt4.5ft,red_pine,2021,outside,wa,13,33,3,29,5,1
dsrd_exp_gt4.5ft,red_pine,2021,outside,dsrd_exp_gt4.5ft,412,1017,NA,NA,NA,5
dsrd_exp_gt4.5ft,red_pine,2021,inside,rm,647,1597,39,28,5,1
dsrd_exp_gt4.5ft,red_pine,2021,inside,wa,509,1257,39,28,5,1
dsrd_exp_gt4.5ft,red_pine,2021,inside,ro,193,476,36,28,5,1
dsrd_exp_gt4.5ft,red_pine,2021,inside,bc,124,306,7,28,5,1
dsrd_exp_gt4.5ft,red_pine,2021,inside,co,28,68,7,28,5,1
dsrd_exp_gt4.5ft,red_pine,2021,inside,remainder,28,68,NA,28,5,2
dsrd_exp_gt4.5ft,red_pine,2021,inside,dsrd_exp_gt4.5ft,1527,3771,NA,NA,NA,7
dsrd_exp_gt4.5ft,red_pine,2020,outside,ro,66,164,3,29,4,1
dsrd_exp_gt4.5ft,red_pine,2020,outside,co,53,131,3,29,4,1
dsrd_exp_gt4.5ft,red_pine,2020,outside,rm,27,66,3,29,4,1
dsrd_exp_gt4.5ft,red_pine,2020,outside,dsrd_exp_gt4.5ft,146,361,NA,NA,NA,3
dsrd_exp_gt4.5ft,red_pine,2020,inside,rm,468,1155,39,28,4,1
dsrd_exp_gt4.5ft,red_pine,2020,inside,wa,358,883,25,28,4,1
dsrd_exp_gt4.5ft,red_pine,2020,inside,ro,124,306,21,28,4,1
dsrd_exp_gt4.5ft,red_pine,2020,inside,bc,110,272,7,28,4,1
dsrd_exp_gt4.5ft,red_pine,2020,inside,co,14,34,4,28,4,1
dsrd_exp_gt4.5ft,red_pine,2020,inside,dsrd_exp_gt4.5ft,1073,2650,NA,NA,NA,5
dsrd_exp_gt4.5ft,red_pine,2019,outside,co,13,33,3,29,3,1
dsrd_exp_gt4.5ft,red_pine,2019,outside,dsrd_exp_gt4.5ft,13,33,NA,NA,NA,1
dsrd_exp_gt4.5ft,red_pine,2019,inside,rm,399,985,36,28,3,1
dsrd_exp_gt4.5ft,red_pine,2019,inside,wa,124,306,11,28,3,1
dsrd_exp_gt4.5ft,red_pine,2019,inside,ro,69,170,11,28,3,1
dsrd_exp_gt4.5ft,red_pine,2019,inside,bc,14,34,4,28,3,1
dsrd_exp_gt4.5ft,red_pine,2019,inside,dsrd_exp_gt4.5ft,605,1495,NA,NA,NA,4
dsrd_exp_gt4.5ft,sta_rd,2022,outside,rm,91,224,6,34,5,1
dsrd_exp_gt4.5ft,sta_rd,2022,outside,wa,34,84,9,34,5,1
dsrd_exp_gt4.5ft,sta_rd,2022,outside,ba,11,28,3,34,5,1
dsrd_exp_gt4.5ft,sta_rd,2022,outside,dsrd_exp_gt4.5ft,136,336,NA,NA,NA,3
dsrd_exp_gt4.5ft,sta_rd,2022,inside,ba,158,390,8,61,5,1
dsrd_exp_gt4.5ft,sta_rd,2022,inside,wa,120,296,16,61,5,1
dsrd_exp_gt4.5ft,sta_rd,2022,inside,rm,82,203,7,61,5,1
dsrd_exp_gt4.5ft,sta_rd,2022,inside,bc,25,62,5,61,5,1
dsrd_exp_gt4.5ft,sta_rd,2022,inside,dsrd_exp_gt4.5ft,385,951,NA,NA,NA,4
dsrd_exp_gt4.5ft,sta_rd,2021,outside,wa,91,224,6,34,4,1
dsrd_exp_gt4.5ft,sta_rd,2021,outside,rm,45,112,6,34,4,1
dsrd_exp_gt4.5ft,sta_rd,2021,outside,dsrd_exp_gt4.5ft,136,336,NA,NA,NA,2
dsrd_exp_gt4.5ft,sta_rd,2021,inside,ba,101,250,5,61,4,1
dsrd_exp_gt4.5ft,sta_rd,2021,inside,rm,76,187,7,61,4,1
dsrd_exp_gt4.5ft,sta_rd,2021,inside,wa,19,47,5,61,4,1
dsrd_exp_gt4.5ft,sta_rd,2021,inside,sm,13,31,2,61,4,1
dsrd_exp_gt4.5ft,sta_rd,2021,inside,bc,6,16,2,61,4,1
dsrd_exp_gt4.5ft,sta_rd,2021,inside,dsrd_exp_gt4.5ft,215,530,NA,NA,NA,5
dsrd_exp_gt4.5ft,sta_rd,2020,inside,ba,95,234,5,61,3,1
dsrd_exp_gt4.5ft,sta_rd,2020,inside,rm,57,140,5,61,3,1
dsrd_exp_gt4.5ft,sta_rd,2020,inside,dsrd_exp_gt4.5ft,152,374,NA,NA,NA,2
dsrd_exp_gt4.5ft,sta_rd,2019,inside,ba,164,405,7,61,2,1
dsrd_exp_gt4.5ft,sta_rd,2019,inside,rm,57,140,5,61,2,1
dsrd_exp_gt4.5ft,sta_rd,2019,inside,dsrd_exp_gt4.5ft,221,546,NA,NA,NA,2
