harvest,location,numb_yrs_grow,season,type,stem_p_ac
red_pine,control,4,2021,diversity,412
red_pine,control,2,2019,interfering,40
red_pine,control,3,2020,interfering,213
red_pine,control,4,2021,interfering,518
red_pine,control,3,2020,other,0
red_pine,control,4,2021,other,13
red_pine,control,NA,NA,other,0
red_pine,interior,2,2019,commercial,642
red_pine,interior,3,2020,commercial,1181
red_pine,interior,4,2021,commercial,1900
red_pine,interior,2,2019,diversity,1797
red_pine,interior,3,2020,diversity,231
red_pine,interior,4,2021,diversity,693
red_pine,interior,2,2019,interfering,385
red_pine,interior,3,2020,interfering,282
red_pine,interior,4,2021,interfering,488
red_pine,interior,2,2019,other,180
red_pine,interior,3,2020,other,0
red_pine,interior,NA,NA,other,0
red_pine,perimeter,2,2019,commercial,593
red_pine,perimeter,3,2020,commercial,948
red_pine,perimeter,4,2021,commercial,859
red_pine,perimeter,2,2019,diversity,2548
red_pine,perimeter,3,2020,diversity,2578
red_pine,perimeter,4,2021,diversity,2607
red_pine,perimeter,2,2019,interfering,2726
red_pine,perimeter,3,2020,interfering,2726
red_pine,perimeter,4,2021,interfering,3081
red_pine,perimeter,2,2019,other,0
red_pine,perimeter,4,2021,other,89
red_pine,perimeter,NA,NA,other,0
sta_rd,control,2,2019,commercial,45
sta_rd,control,3,2020,commercial,125
sta_rd,control,4,2021,commercial,623
sta_rd,control,2,2019,diversity,0
sta_rd,control,3,2020,diversity,0
sta_rd,control,4,2021,diversity,0
sta_rd,control,2,2019,interfering,159
sta_rd,control,3,2020,interfering,102
sta_rd,control,4,2021,interfering,170
sta_rd,control,3,2020,other,0
sta_rd,control,4,2021,other,0
sta_rd,control,NA,NA,other,0
wedge,interior,2,2019,commercial,110
wedge,interior,3,2020,commercial,0
wedge,interior,4,2021,commercial,193
wedge,interior,2,2019,diversity,193
wedge,interior,3,2020,diversity,55
wedge,interior,4,2021,diversity,138
wedge,interior,2,2019,interfering,4374
wedge,interior,3,2020,interfering,2751
wedge,interior,4,2021,interfering,3797
wedge,interior,3,2020,other,0
wedge,interior,4,2021,other,0
wedge,perimeter,2,2019,commercial,193
wedge,perimeter,3,2020,commercial,270
wedge,perimeter,4,2021,commercial,1348
wedge,perimeter,2,2019,diversity,616
wedge,perimeter,3,2020,diversity,809
wedge,perimeter,4,2021,diversity,308
wedge,perimeter,2,2019,interfering,4391
wedge,perimeter,3,2020,interfering,2581
wedge,perimeter,4,2021,interfering,2889
